,Total Current Assets,Total Current Liabilities,Total Debt,"Total Assets, Reported",Net Income - Actual,Revenue Per Share,Total Revenue,Total Equity,Total CO2 Equivalent Emissions To Revenues USD in million,Company Market Capitalization,"Property Plant And Equipment, Total - Gross",P/E (Daily Time Series Ratio),returns_yearly,Current Ratio,Debt-to-Equity Ratio,Return on Assets,Revenue Per Employee,Return on Equity,Asset Turnover Ratio,Net Income Margin,RIC,Year,ESG Score
343,1.3669200426812276,0.28248235218924556,0.07928550702707356,0.5887840230553402,2.4103756728559134,0.045962928422710644,0.5882232044281843,1.144720389776298,-0.1770461588922823,1.6444237379204931,0.7399373466873156,-0.5194674329951012,0.14946451773386168,1.0793772693888863,-0.578803378264217,1.4583542550791007,-0.6395038070484764,0.7381873320990041,-0.17487139619881412,0.9524836783013013,BDX,2009,74.24905824
344,1.2952250368829823,0.21078261961541866,-0.010960917403263529,0.6488607751249749,2.279263591913106,0.09353840898626964,0.617994729844291,1.265118158195305,-0.25182815438626455,1.6583388997716346,0.809626966303676,-0.47803525596399143,-0.19164614493403653,1.1724867601916695,-0.6586309083848477,1.2500539020050523,-0.6337628018025158,0.5498031796147089,-0.19928502805584086,0.8298970515706166,BDX,2010,60.36484847
345,1.37773571576702,0.3138603370336157,0.4659161097549261,0.7842203445712272,2.4905204142468387,0.2282840624913156,0.7174008244417085,1.014971486555632,-0.29982273655504355,1.283872634068457,0.8930789033062765,-0.7043476270162615,-0.8350893123921418,1.0161199195392887,-0.29672366568778735,1.2170113419629534,-0.5325030173987461,0.9258540013470292,-0.22072209725992126,0.8345392852692426,BDX,2011,75.58459646
346,1.7084948551741288,0.419163453095159,1.1412853179030724,0.9457491576509676,2.140855150863061,0.34503461168407523,0.7442921483839862,0.7293982496549757,-0.3531929851857104,1.1747912744975861,0.9328303170044075,-0.6586192586125292,-0.2835693750008995,1.167261764911307,0.3440381978374292,0.7630237672235127,-0.49683322373419325,1.0292376914472505,-0.31444089405226006,0.6002995806649541,BDX,2012,70.25604493
347,1.9872368656284674,0.52250642279664,1.0496644923888652,1.0825594781506078,2.2301210122705264,0.4704943454874823,0.8190368152244877,1.103175924288423,-0.40414187368002147,2.02047538757411,1.026783170160845,-0.020367542277874184,0.7351734077353836,1.24478279565695,0.026654039383404153,0.6847513430049083,-0.637610223600764,0.6640141037922827,-0.3444524165780774,0.5749044206117135,BDX,2013,73.25136211
348,2.117265774411205,0.5932403650056893,1.0501313405831145,1.1342914171131042,2.4391243498998194,0.5505496909649334,0.9038122302823741,1.1077135078967977,-0.4351622389111977,2.7784992946982845,1.1051661043807302,-0.0530620732669675,0.34756150729381236,1.229306362058316,0.024466278939505492,0.7695097071638152,-0.7055857427828729,0.7930911545636321,-0.3143317234243987,0.6055245861765466,BDX,2014,75.92949401
349,1.878963766486421,2.053488191186739,5.182204707883895,3.5700324761157463,3.1090068423014006,0.7897247782895616,1.3008725926453322,1.9785170531039604,-0.49672241662832134,3.5731710104881147,1.2278941237097245,1.5290642626455901,-0.09506367758927117,-0.45805055434623093,1.4730564326453102,-0.1489828738971125,-0.7050965649231685,0.4717799259220552,-0.8739366491504107,0.5838075793954657,BDX,2015,80.2820553
350,2.237175701965714,2.0664107383210846,4.588840652993002,3.4151838534494816,4.132587290691017,1.0640440429421056,1.7768692470902507,2.171983117861023,-0.5029067393684266,3.938529349158517,1.2619319728205003,0.9184020540694646,-0.21656445502530855,-0.27757162148812675,1.0741042747127283,0.21022504084516208,-0.6635012794964374,0.7941254018298453,-0.6819707272926354,0.6449899881772619,BDX,2016,81.9230257
351,-0.5000999609988774,-0.24513165972386627,0.49459646172043903,0.09315698117828078,-0.8028014469072979,-0.8293010636316321,-0.7899681230021085,0.3758350974892363,-0.16927705814834487,-0.29623247635833116,0.9144978191171389,-0.3523510133977815,-0.8758413102850026,-0.4473550002879997,0.11439130269696364,-1.256669565103287,-0.895864433887282,-1.251922015055066,-1.4391123950608842,-0.6351877977107419,HTA,2018,35.81022023
352,-0.28722386185543614,-0.13947340962264723,0.6094261783635571,0.15237269157927788,-0.7317831845928519,-0.828607674942984,-0.762940552857059,0.3327103153828448,-0.29740374775985695,-0.040170265634946585,1.116644050625944,2.421272215359948,-0.13650612809585588,-0.2634905854135595,0.2665120227879067,-1.1779725120789244,-0.9184748706857073,-1.1774987690507772,-1.412847923866939,-0.29249007094227203,HTA,2021,61.78487768
