Total Current Assets,Total Current Liabilities,Total Debt,"Total Assets, Reported",Net Income - Actual,Total Revenue,Total Equity,"Property Plant And Equipment, Total - Gross",Total CO2 Equivalent Emissions To Revenues USD in million,Company Market Capitalization,Revenue Per Share,P/E (Daily Time Series Ratio),returns_yearly,RIC,Year,ESG Score
855.8330546,444.6164136,26.03839208,2244.925423,190.9222398,1565.511337,1440.960471,820.0321049,,2643.770284,18.54254998,18.36022381,12.532650584,IPN.PA,2011,38.7171354
819.0938511,479.4951456,26.84271845,2116.064725,166.9486896,1566.563107,1295.91068,,,2531.81882,18.76899641,23.28065585,-0.6106675179999996,IPN.PA,2012,42.5493968
800.0171522,576.5291851,26.703346,2060.737281,191.158116,1685.40875,1190.782668,854.0518788,16.35341262,3978.236966,20.26813288,32.91572081,46.870549582,IPN.PA,2013,43.38695012
827.2328669,517.1413256,30.1619155,2151.540809,211.8614826,1761.827528,1335.320395,912.9298733,18.2882006,4309.153619,21.18517437,22.79740004,27.489831807999998,IPN.PA,2014,46.72959981
812.4357346,496.2196818,12.21798827,2072.582109,201.3718873,1611.80669,1288.574366,851.6300732,17.21628176,5513.276335,19.60351502,36.03475877,40.194172615,IPN.PA,2015,52.62090208
879.551699,501.1891704,17.48460594,2104.668716,249.590351,1650.937761,1327.635451,859.2434921,15.83989344,6034.207587,19.99555941,24.3501315,15.43489557,IPN.PA,2016,50.73200436
1104.289319,590.0967199,319.7014298,2547.834315,278.862124,1756.833474,1428.616484,871.8460892,11.48193978,9996.634381,21.23132157,38.34142622,42.087351455000004,IPN.PA,2017,62.29068211
1219.275201,1129.784911,434.4957474,3685.176521,452.8061224,2413.358765,1829.872482,1049.891436,10.09883507,10845.22358,29.07020567,27.17064174,16.817257222000002,IPN.PA,2018,64.48114132
1359.757776,1100.100927,384.897697,3873.520506,555.8003683,2693.366364,2111.546931,1071.77264,10.1476538,7422.536101,32.3618843,16.22746385,-26.632044096,IPN.PA,2019,69.98973854
1509.427617,1628.253705,1135.79804,4828.038473,610.1830874,3018.631034,1962.984553,1312.355671,7.723141075,6950.422955,36.32745148,,1.3490015169999978,IPN.PA,2020,71.70211015
1928.187592,1481.558378,1063.507572,5267.464582,739.3213186,3280.654617,2602.711285,1461.284807,7.425103685,7670.087696,39.31370784,10.92025905,21.987113691,IPN.PA,2021,69.28031541
426.7832432,167.1656812,130.1044156,543.6700633,6.909132368,156.5535847,326.9188298,64.36029689,,366.0322386,1.553155644,,47.66081744,SLRS.MC,2009,
148.5440646,101.0078452,91.94439672,471.0087041,3.336785023,129.5410296,328.2053485,291.2171448,,192.0072068,1.299828673,,-45.922838176,SLRS.MC,2010,
291.7717878,176.9607384,175.8919136,592.1302923,8.977473498,217.6857735,310.8728513,282.3115511,,124.5518717,2.186792992,16.67818873,-22.77111334794509,SLRS.MC,2011,
164.7184466,110.1294498,187.8744337,439.5080906,-35.09919657,144.6459547,164.2718447,301.7605178,,92.08652945,1.467058664,,54.328589263,SLRS.MC,2012,
101.4038421,142.2960207,200.7269897,412.1213321,,46.70677644,127.7562276,659.13289,,104.8397538,0.475514568,,15.771380539222761,SLRS.MC,2013,
36.12859774,108.6703137,160.4227946,266.7001127,,47.40907716,27.17788713,341.4039091,,87.8002798,0.482664583,,28.215292488999992,SLRS.MC,2014,
30.097381,105.9843948,137.9302002,236.8487268,,30.09254219,31.41716567,,,83.91769481,0.288295568,45.25032092,10.432456641999998,SLRS.MC,2015,
20.93265712,39.83557954,115.4559573,186.5944114,,17.95701611,44.15243101,,,88.15035164,0.167669077,18.04670913,16.883063805000003,SLRS.MC,2016,
48.58915055,35.2617746,187.8469302,265.211312,,24.29352397,42.35912532,,,214.3182449,0.22683461,17.57601898,90.19843436675684,SLRS.MC,2017,
121.9504083,19.40086246,247.3988439,452.644738,24.30238515,38.75470227,196.0202771,,5.258870632,952.4762424,0.332057237,46.43857133,63.5243607,SLRS.MC,2019,17.26454144
128.9826575,105.5776746,513.3317049,873.8483146,36.64293201,65.05373718,271.7562286,,2.914615641,2422.164723,0.520633986,49.91108131,-50.561946997999996,SLRS.MC,2021,58.38978416
875.8613942,443.8545729,641.6740051,1649.737913,154.958946,1140.045568,670.9844704,646.4097511,44.19944773,3355.786511,2.235769817,19.876021,8.895950595999999,GRLS.MC,2009,34.35739208
1438.152093,428.1094314,1169.869152,2372.41167,200.5747282,1309.381263,810.8157247,797.9886045,40.81778746,2598.833186,2.582584036,17.68833734,-8.299411932,GRLS.MC,2010,47.04055244
1530.442111,566.0169888,1146.438365,2526.897198,182.9063604,1325.871179,927.0818005,877.9278978,85.08484374,4683.646653,2.57330963,47.29117447,34.637052305,GRLS.MC,2011,38.45039644
2497.365696,836.3456311,3827.849838,7300.970874,194.8952791,2324.418123,2152.112621,1360.908738,53.96365903,10681.99427,3.772961741,50.52518592,83.330443379,GRLS.MC,2012,43.99401352
2552.46464,782.2263563,3800.076525,7424.891809,401.8644001,3458.074731,2476.208571,1508.132784,49.90273831,14831.75592,5.045320502,39.04688097,30.939226984,GRLS.MC,2013,43.78293679
2940.9517,983.1706848,3851.220551,8028.474036,616.8896504,3768.496578,2888.173846,1704.922066,47.42119228,12971.87035,5.533682702,27.06722675,-0.11275195700000129,GRLS.MC,2014,57.32242206
3524.008952,1306.128349,5181.086312,10221.67665,669.4059428,4059.014093,3215.5362,2013.71076,46.47549462,14110.64468,5.92258563,27.42043379,30.660472428000002,GRLS.MC,2015,53.05202784
3355.167733,1143.564905,5167.406957,10427.46604,667.6957864,4272.936871,3579.677675,2506.614828,50.53375266,12636.98421,3.115934425,36.40921801,-9.001234854000002,GRLS.MC,2016,56.72943272
3282.710261,1126.748318,5135.660219,10649.46594,659.1372947,4257.600925,3912.406434,2753.044575,41.60765422,18448.93749,6.223008005,29.05835465,29.092951712999998,GRLS.MC,2017,59.02174496
3533.206176,1173.194899,7211.099915,13099.96761,716.8739484,5179.967851,4353.449455,3167.346841,42.46861346,16031.02767,7.570353096,22.31512069,-2.8415325719999993,GRLS.MC,2018,65.49714275
3994.920406,1442.014176,7204.362786,14309.85182,773.7262794,5145.79778,4846.263419,3505.66107,42.69098744,21109.45658,7.503400838,39.30518733,35.913997866,GRLS.MC,2019,74.49916224
6011.012712,1531.912652,7184.882183,17423.27982,789.9830632,5715.636841,5405.599399,4716.630047,36.65113412,17351.19049,8.320023639,22.59887006,-24.659403765,GRLS.MC,2020,73.96321615
3865.356619,1630.603322,8864.54934,18655.07572,889.1250015,6521.78554,6238.876404,5462.381534,47.2222569,11134.95652,9.513691895,17.10176946,-9.104937321,GRLS.MC,2021,75.72461539
,,2832.396,4730.342,70.973,612.408,1411.494,5191.646,,2587.323099,11.07989579,,53.442261191,CPT,2009,26.31964144
,,2625.199,4607.999,-50.8,602.648,1530.411,5260.045,,3527.538078,9.664170368,,31.634883351,CPT,2010,27.82776634
,,2432.112,4622.075,22.546,599.401,1758.717,5519.67,,5459.484115,8.159334078,48.40871982,13.694334056999999,CPT,2012,49.87802167
,,2510.468,5385.172,283.39,698.318,2563.099,6339.451,,4857.587536,8.162116041,29.29476243,-12.523807017,CPT,2013,48.51798349
,,2530.766,5632.141,336.364,788.851,2691.536,6599.615,,6070.496861,8.914174972,41.16523111,31.700401732,CPT,2014,42.50870552
,,2730.613,6043.981,146.41,790.263,2815.602,6893.92,,6344.352811,8.932755347,18.60506433,9.147008815,CPT,2015,44.7444452
,,2724.687,6037.612,249.315,835.618,2816.557,6900.679,,7354.423759,9.337557269,16.98740746,19.249181382,CPT,2016,50.3843151
,,2480.588,6028.152,819.823,876.447,3014.873,6934.398,,8531.673665,9.748807048,56.19342355,12.867955390999999,CPT,2017,51.57488706
,,2204.598,6173.748,196.422,900.896,3405.363,7290.512,,8200.556297,9.737837108,41.43022501,0.3417305739999996,CPT,2018,49.1934597
,,2321.603,6219.586,156.128,954.505,3311.423,8034.497,,10273.83944,10.0088606,63.70421072,22.619722483,CPT,2019,45.53352492
,,2524.099,6748.504,181.717,1028.461,3628.685,8603.474,152.9460038,9731.764255,10.34835587,52.8319445,2.610701603999998,CPT,2020,51.32307371
1331.8,1114.2,419.3,2471.1,,2522.4,787.7,,108.9138899,2967.030429,13.54108426,11.68859343,97.496996868,SUBC.OL,2009,41.04812246
1743.0,1221.2,415.8,2833.1,,2208.8,1068.0,1432.2,,4561.269486,12.01798824,20.9756398,51.077805272,SUBC.OL,2010,32.50559878
1403.3,1190.5,435.3,2989.5,,2369.0,1202.5,1971.4,,6289.521846,11.46071977,13.51325095,-23.325002741,SUBC.OL,2011,30.87629734
2914.1,2272.0,893.4,9247.6,422.2,5476.5,5781.0,4188.3,,8317.425566,14.95047221,11.0496352,29.042508112,SUBC.OL,2012,36.31505131
3608.8,2864.3,1542.7,10461.8,540.1,6296.6,6308.3,,76.06676089,6731.146737,16.56222099,18.68169127,-5.777567220999996,SUBC.OL,2013,30.58667802
2884.3,2776.6,916.8,10316.3,364.1,6297.1,6551.6,5813.8,70.74338782,3422.029336,16.80584041,5.336869668,-33.774924709,SUBC.OL,2014,26.69645359
2161.8,2203.2,578.1,8624.4,845.5,6869.9,5586.9,6456.4,98.56875644,2350.666387,20.76853652,,-13.516474621,SUBC.OL,2015,34.66182546
2026.3,1773.9,523.9,7854.2,503.9,4758.1,5377.1,6630.7,113.2699694,4142.78398,14.60578546,,61.657097197999995,SUBC.OL,2016,38.56415675
2565.3,2062.6,427.3,7803.0,526.4,3566.7,5583.5,6440.3,101.4901144,4906.318344,10.40201194,12.60011438,20.588330645,SUBC.OL,2017,49.78583067
2182.4,1310.4,282.7,7744.7,431.1,3985.6,5892.6,7331.9,114.2866611,3167.099054,11.77463266,15.67322854,-27.061071976999997,SUBC.OL,2018,51.48974162
2096.3,1400.8,258.2,7568.9,182.5,4073.8,5683.4,7240.0,121.1852541,3572.563259,12.45083718,40.68654275,27.661204155,SUBC.OL,2019,67.72425949
1608.6,1264.9,578.8,7224.2,-83.6,3656.6,5328.7,7900.7,122.1838218,3086.220223,11.99352522,,2.3906612999999943,SUBC.OL,2020,71.49451251
1835.4,1551.2,463.0,6297.1,-487.4,3466.4,4227.8,7958.9,108.8241517,2153.300842,11.6458447,,-8.364279226,SUBC.OL,2021,75.22341541
2530.0,2574.0,9108.0,24972.0,760.0,6638.0,6803.0,17795.0,,15892.48984,11.23753384,19.10978938,37.613875044000004,WMB,2011,42.20101862
1894.0,1675.0,8722.0,16502.0,734.0,7930.0,1296.0,19082.0,,22068.90977,13.25699001,31.56362374,25.876887344000004,WMB,2012,50.20428133
1093.757426,390.1301352,497.5300876,1254.213668,-9.131424366,957.4579612,308.6873261,217.907214,,630.9538769,25.65930454,,23.740754714,LAEP.PA,2009,
860.7369868,724.3242856,528.2840864,1046.116074,28.62118094,644.4869152,205.2009964,239.4033099,,721.7344883,17.29555183,,41.546088219,LAEP.PA,2010,
903.4111431,323.0847435,482.9549863,1073.280717,19.91962282,622.298174,228.6161461,237.5787573,,945.2204484,12.38102254,3.015914157,43.668953438,LAEP.PA,2011,
886.9669903,393.0355987,511.6763754,1048.711974,8.801334498,746.1423948,219.2491909,232.1385113,,860.1068664,15.00407093,,-14.247351208999996,LAEP.PA,2012,
854.3310333,718.9817742,462.5037799,1021.00778,-10.69225497,853.6781483,179.4100668,265.9193996,,1085.81835,20.27822398,,-37.929411471,LAEP.PA,2014,
778.243513,490.190528,411.8720135,927.7045908,0.151496448,803.3315188,133.7506805,240.6580778,,3744.257208,16.0613783,,9.356827664,LAEP.PA,2015,
797.9094493,313.5185326,166.0179624,933.5617554,1.712996092,675.6355817,419.2754206,224.3329243,,3713.720662,8.793845956,,6.462989556000004,LAEP.PA,2016,
529.2882675,273.3599664,153.1171152,786.5811606,32.85712734,688.8519765,240.0452061,,,5796.411058,3.4926649,9.057183636,41.008975318,LAEP.PA,2017,14.92492573
596.1996617,378.7646501,146.5433476,891.2081189,3.761533882,788.6289752,354.2927748,255.1888773,20.1932917,2698.076614,3.937898021,,-66.329220792,LAEP.PA,2018,21.78930506
587.3658134,386.3106707,152.3293421,839.3992568,6.783033373,756.0888614,301.1342784,256.6210203,20.05547134,3673.338302,3.631791625,,39.352943105000016,LAEP.PA,2019,49.69341235
438.8920028,330.8734838,167.6524001,737.0860704,-37.06744868,799.3834495,223.3257853,350.8228146,25.20407765,2102.217289,4.06994633,,-18.981955086,LAEP.PA,2020,44.83202347
335.4616512,205.1416707,275.1013679,598.3842208,-108.6012804,504.6800195,44.19638495,374.3490474,31.22652394,319.9206068,2.563376336,,-52.226090868,LAEP.PA,2021,52.19636763
576.5924435,329.0420878,498.1758712,1317.985491,62.12270585,925.2037293,448.973316,665.4925148,,714.358055,57.04450769,11.35779283,52.83134948599999,CBLP.PA,2009,
425.9004753,294.622917,365.0575502,1252.362137,26.861038,840.7776442,602.1302182,755.4543893,,914.9265186,48.75124631,23.29783188,35.068318032,CBLP.PA,2010,
484.3823156,277.9747174,365.5942746,1323.924821,57.68936709,991.5055849,643.1676811,799.0100997,,613.1276249,48.54603058,9.00897425,-32.661900896,CBLP.PA,2011,
517.7993528,238.0582524,384.4660194,1361.165049,83.46306302,1073.915858,689.3203883,837.4110032,,566.289234,51.58890212,8.603176934,-0.18269699199999856,CBLP.PA,2012,
453.3459996,235.5129829,356.1061853,1334.44163,43.06331471,1069.637957,644.791007,,,720.2806178,50.89241539,22.43358537,26.038658075999997,CBLP.PA,2013,
442.4498997,264.0404651,330.7034665,1281.853919,29.51773836,1015.476812,608.6263298,930.3955796,,501.7858146,48.15290222,,-18.702465703,CBLP.PA,2014,
422.7907821,234.803121,321.4177705,1213.693824,42.28530454,878.3644832,550.6562632,894.8164278,,381.6468522,41.28219113,17.70058933,-12.301249787,CBLP.PA,2015,
352.2918419,254.1000841,250.2102607,1052.565181,36.25403115,797.9394449,498.9486964,831.5811606,,916.9579872,37.42151999,61.69147653,67.440684715,CBLP.PA,2017,
412.3031154,265.3519032,259.8337352,1139.501685,46.66923182,970.7177217,559.4942479,969.6380802,165.0833483,556.1594974,45.47377315,10.86524324,-40.747532715000006,CBLP.PA,2018,63.671235
495.5729883,404.8536563,302.894761,1243.806771,63.98640997,1007.546564,580.6725388,1005.596844,165.2246177,795.4424525,47.46394386,11.83815526,45.192906255,CBLP.PA,2019,60.8677336
507.2528754,263.6593951,367.6882721,1346.209896,64.55974311,1065.174988,614.9810551,1138.040042,141.5844359,630.4670151,49.87038117,12.8748667,-16.838181752000008,CBLP.PA,2020,66.16165695
585.4909624,340.4982902,443.9423547,1460.307767,-14.38072982,1034.684905,621.8856864,1304.958476,151.2621063,873.3776038,50.1441978,,28.976976196000003,CBLP.PA,2021,69.12208811
33.30790734,40.43491087,280.7707868,515.3603888,38.78001279,230.684816,192.6760504,680.7034992,,670.5882284,2.92464933,18.67672836,79.254001762,SKISb.ST,2009,
34.19262573,37.33590891,263.420225,505.147621,49.32595231,234.2872441,202.9572997,667.1248475,,721.4041664,2.970321339,16.06790835,7.555160160999999,SKISb.ST,2010,
41.81899967,63.30939567,339.3289035,614.3274042,26.53040848,252.1667009,231.4544106,820.8439211,,443.466606,3.196999202,18.48142588,-40.255493321,SKISb.ST,2011,
41.56829603,138.8492824,343.373074,603.9350769,23.72694342,234.1972141,219.8101505,800.0425577,,493.3983982,2.969179928,19.79113449,9.995385970000001,SKISb.ST,2012,
40.92654701,140.3365966,317.5317259,588.2798526,21.52715182,251.5840283,223.7203892,804.0557771,,461.0580498,3.209960137,21.52362846,-3.4213258809999996,SKISb.ST,2013,
43.25340506,125.8639979,295.9059174,566.5895044,22.32745467,250.3696921,219.8294609,780.1816985,,420.9942976,3.194466424,19.8391043,14.948105219,SKISb.ST,2014,
33.2383909,233.1644987,203.7705092,443.8062749,30.18689432,224.1843528,193.6194197,624.5610142,,550.9149303,2.86036773,17.89580026,41.850514827000005,SKISb.ST,2015,
44.30736714,113.0267291,203.4966195,479.5994722,36.08149121,232.441001,211.1869869,,,625.6260384,2.965714288,20.57890831,26.892804794,SKISb.ST,2016,
66.7273529,181.3851581,221.9153332,567.9551468,48.18609591,290.5410105,256.0695477,816.5503339,,719.7918022,3.707012198,14.75628777,9.224525977,SKISb.ST,2017,
66.89299692,101.6683429,183.5272318,532.4537027,53.7322271,277.2049981,257.9571244,765.85292,16.77108639,862.8431911,3.536858042,16.69877349,32.403220242,SKISb.ST,2018,20.34515912
56.09582692,64.83107041,177.8081424,515.98409,46.65443896,272.5589497,259.29128,754.963688,15.26201666,949.7499896,3.477579119,25.52335774,18.505740070999998,SKISb.ST,2019,22.83690916
68.52317551,128.8026466,307.7180766,696.7403903,32.16843003,273.1825701,290.4624692,961.2844567,9.14405362,973.7148481,3.48553589,29.50488157,-0.8341820110000064,SKISb.ST,2020,37.97155634
312.4655792,770.2841727,1735.66067,3594.958136,64.16885424,981.7041976,755.7596343,2348.737088,,1758.47854,24.76256461,23.48781526,22.416493739,ORP.PA,2009,
442.6644906,956.0098494,2058.709844,4382.391342,82.41127278,1207.296856,918.5535131,2730.547443,,1800.101722,28.98560574,21.70957604,11.163451154000002,ORP.PA,2010,
704.4492007,1159.608053,2471.999197,5190.353822,63.56291316,1289.858872,1157.585446,2946.572136,,1727.830895,30.82460226,15.03914298,-22.863456686,ORP.PA,2011,
781.8576052,1376.790939,2494.979935,5801.660841,106.9325913,1597.579288,1490.810356,3352.484142,,2342.509865,33.91500691,18.73119891,31.586481644,ORP.PA,2012,
799.1819717,1582.751478,2867.293382,6537.641176,124.0021982,1885.770266,1602.120277,3824.353494,,3220.919949,33.05789792,22.20843542,26.293512267,ORP.PA,2013,
1014.569646,1482.131567,3031.425076,7493.182505,157.4661634,2210.080545,1941.300822,4238.840476,22.72357034,3484.140302,40.35578528,28.16794349,23.382086684,ORP.PA,2014,26.84816039
1157.820117,1441.900442,3085.807778,7604.411782,146.2493428,2357.20075,1812.093389,4087.473538,35.74046695,4829.435955,39.17927571,36.19381203,38.252923886,ORP.PA,2015,23.86886776
1088.120242,1173.379959,3623.529284,8005.260586,173.7799694,2597.282827,1965.139388,4538.494369,44.39202807,4863.97027,43.13431641,31.50304319,6.06628648,ORP.PA,2016,31.6486952
1160.967199,1305.446804,4436.275231,8804.690917,191.8477673,2986.990118,2221.321489,5247.797519,34.68897498,7612.159152,49.58519149,33.54559539,27.245196486,ORP.PA,2017,60.50432919
1569.221818,1489.997721,6106.308706,11630.717,245.3217426,3764.630943,3257.117837,7289.980926,34.12765285,6608.853723,61.13329245,23.67520234,-7.033249827,ORP.PA,2018,62.43204213
1874.339389,1988.286769,6640.133269,12781.64625,248.2495663,3922.107533,3405.453482,8063.588403,38.02917429,8279.252706,60.68481497,32.48608044,28.465865525,ORP.PA,2019,67.84642143
1904.351725,2443.994799,10395.35233,16298.2546,257.3057553,4192.784118,3378.742461,11315.57182,33.14805129,8489.373478,62.61639988,37.70694116,-0.4471562440000034,ORP.PA,2020,70.09391024
2271.828285,3216.157792,12858.98999,20721.17978,190.4538639,4790.415242,4268.612604,14367.28872,30.76734178,6473.854225,73.03283878,30.47346284,-3.9719325690000016,ORP.PA,2021,73.85148293
397.153,267.664,279.425,1864.514,152.404,478.339,1182.899,71.982,,3854.921122,5.51285036,36.14588098,52.443364497,ANSS.O,2009,44.0152311
515.49,266.766,225.426,1920.182,163.727,516.885,1312.631,79.212,,4738.284032,5.631475731,34.13642771,21.367035101,ANSS.O,2010,40.42465427
714.633,311.369,159.525,2126.876,198.109,580.236,1529.929,90.326,,5291.549369,6.225107018,29.56295547,12.774876274999999,ANSS.O,2011,55.28742192
740.033,438.751,127.572,2448.47,243.776,691.449,1754.473,106.549,,6238.220092,7.326146152,32.79039759,18.578984939,ANSS.O,2012,51.85458507
913.359,477.387,53.149,2607.417,276.787,798.018,1940.291,115.535,,8079.934386,8.404258904,36.58255197,27.522571484,ANSS.O,2013,52.95242718
1067.596,440.431,0.0,2722.382,311.524,861.26,2136.246,154.354,,7536.49126,9.052649282,29.70046,-4.282088142999999,ANSS.O,2014,51.23418768
1082.315,465.075,0.0,2752.879,323.409,936.021,2217.501,151.016,,8231.77813,9.937161603,33.59019239,13.008824426,ANSS.O,2015,55.81114739
1076.426,484.146,0.0,2729.904,313.375,942.753,2194.427,160.664,,8002.894901,10.30308627,31.43662202,0.9197241930000006,ANSS.O,2016,53.54547289
1169.401,539.1,0.0,2800.526,322.922,988.465,2208.405,156.901,,12524.55721,11.11021817,46.47669552,50.04761502,ANSS.O,2017,43.38711875
1270.266,608.553,0.0,2941.623,347.914,1095.25,2245.831,173.92,,11944.06897,12.61024248,36.70002722,1.4352233269999992,ANSS.O,2018,45.63620139
1311.177,524.767,0.0,3265.964,513.885,1293.636,2649.547,183.201,10.66830619,21671.27788,15.05751167,50.4041575,63.092684845,ANSS.O,2019,59.3012578
1719.237,728.825,798.118,5940.59,584.604,1681.297,4097.872,376.505,8.065683477,34998.9033,19.2614907,75.45565532,-5.476048331,ANSS.O,2021,62.94150176
,,,,,,,,,,,,0.0,IDLA.PA,2009,
,,,,,,,,,,,,0.0,IDLA.PA,2010,
,,,,,,,,,,,,0.0,IDLA.PA,2011,
156.405178,217.1935275,68.9579288,329.2802589,,598.0944984,57.58187702,122.6187702,,189.2434241,135.4705836,44.82233589,24.474720752,IDLA.PA,2012,
218.7552776,247.5907748,73.60143551,407.1208043,13.81544571,738.3760819,98.51831328,142.7512138,,440.0833292,137.2938772,32.31568508,82.11395208,IDLA.PA,2013,
,,,,,,,,,,,,0.0,NOMD.K,2009,
,,,,,,,,,,,,0.0,NOMD.K,2010,
,,,,,,,,,,,,0.0,NOMD.K,2011,
,,,,,,,,,,,,0.0,NOMD.K,2012,
,,,,,,,,,,,,0.0,NOMD.K,2013,
,,,,,,,,,509.5125,,,-8.170761089999997,NOMD.K,2014,
,,,,,,,,,2141.3388,,,39.22250291599999,NOMD.K,2015,
1242.927423,1130.200584,2089.899111,5353.65602,,971.1015302,2050.477297,372.9325268,,1742.588113,,16.51484761,-4.2937095209999985,NOMD.K,2016,
918.6291001,791.7367536,1526.913373,4951.114382,165.3395385,2026.597981,2000.10513,361.2279226,,2914.526246,11.04240843,23.52802414,59.954430632,NOMD.K,2017,
898.6216576,842.0004558,1677.523062,5520.207291,215.4955044,2347.140749,2222.382169,435.575389,,2909.92576,13.32994747,16.11364982,2.304890696000001,NOMD.K,2018,
1074.410496,963.3911368,2023.465456,6125.332599,238.4282157,2491.971741,2362.487384,517.2492889,44.05995946,4351.925948,14.17555198,25.11911962,31.226648169,NOMD.K,2019,45.6186808
1592.157478,922.6957828,2103.670157,6618.949398,258.5619075,2605.542228,2867.408022,661.8388898,35.54239384,4998.949484,13.13106046,19.91722264,15.102802682000004,NOMD.K,2020,49.47438288
1182.7064,1120.053737,2161.089399,6815.583781,319.8626551,3072.667318,2596.604787,758.9154861,33.41342747,4406.667402,15.52682552,19.30319384,10.508009405000003,NOMD.K,2021,49.73433989
,,,,,,,,,,,,0.0,AENA.MC,2009,
,,,,,,,,,,,,0.0,AENA.MC,2010,
275.034,695.965,2625.526,4649.879,-60.412,2100.274,1086.582,4799.493,,2580.887805,18.87242111,,24.688091470999996,BKD,2010,31.01787011
328.109,606.358,2570.296,4530.47,-48.901,2280.535,1059.997,4914.76,,2102.658689,19.00287476,,-5.559678982999996,BKD,2011,23.99513195
280.875,620.95,2463.625,4466.061,-68.175,2456.483,1040.208,5105.676,,3103.586467,20.27453554,,44.123771593,BKD,2012,22.1739261
309.038,1130.898,2679.369,4706.768,-65.645,2768.738,996.986,5481.266,,3379.94172,22.69624808,,10.599368732999999,BKD,2013,21.5266464
294.862,870.844,2636.578,4737.757,-3.584,2891.966,1020.937,5717.731,,6725.633296,23.38435041,,33.008832831,BKD,2014,27.95042954
530.59,873.896,6246.253,10417.461,-148.99,3831.706,2881.724,10295.498,131.8322774,3411.040055,25.85758343,,-61.438812912,BKD,2015,69.01744099
497.943,840.148,6432.413,10048.564,440.737,4960.608,2458.888,10574.411,131.3986092,2310.874751,26.91112281,,-29.259706709999996,BKD,2016,71.9512839
619.504,731.142,6045.167,9217.687,374.698,4976.98,2077.982,10264.151,,1807.99368,26.80796971,,-19.171160943000004,BKD,2017,73.31392325
901.872,1095.776,5142.291,7675.449,-635.419,4747.116,1530.728,8916.465,,1257.877959,25.5008783,,-25.480298564,BKD,2018,64.04647194
774.016,773.331,4514.656,6467.26,-528.258,4531.426,1018.903,8322.802,,1349.272677,24.17173064,,14.15661634373987,BKD,2019,64.3344692
596.175,1046.972,4389.703,7194.433,-267.931,4057.088,696.356,9506.583,,812.3949963,21.82321268,24.51441536,-14.490380153000002,BKD,2020,67.33793369
