RIC,Year,returns_yearly
A2.MI,2009,25.538973661
A2.MI,2010,-26.668850001000003
A2.MI,2011,-21.569360082
A2.MI,2012,-35.889934315000005
A2.MI,2013,80.709900786
A2.MI,2014,4.280627497000001
A2.MI,2015,46.348197907
A2.MI,2016,4.769923714000004
A2.MI,2017,27.452759405
A2.MI,2018,7.627628417999997
A2.MI,2019,11.945400337999999
A2.MI,2020,-9.742818239000002
A2.MI,2021,36.915725185
A3M.MC,2009,85.96591468899999
A3M.MC,2010,7.600361480999997
A3M.MC,2011,-27.823458806999998
A3M.MC,2012,0.15160767800000485
A3M.MC,2013,127.63185182800001
A3M.MC,2014,3.2408133990000008
A3M.MC,2015,-11.309938308
A3M.MC,2016,17.299856173999995
A3M.MC,2017,-6.1529724929999965
A3M.MC,2018,-58.138787333
A3M.MC,2019,-7.570817016
A3M.MC,2020,0.05148218600000476
A3M.MC,2021,27.82590815599998
AA,2009,0.0
AA,2010,0.0
AA,2011,0.0
AA,2012,0.0
AA,2013,0.0
AA,2014,0.0
AA,2015,0.0
AA,2016,27.721638998999996
AA,2017,76.406047858
AA,2018,-64.663517208
AA,2019,-13.941221792
AA,2020,64.659451958
AA,2021,90.52624788799999
AAK.ST,2009,51.16093295
AAK.ST,2010,26.341927327
AAK.ST,2011,10.196962885999998
AAK.ST,2012,35.903191902
AAK.ST,2013,43.962832424
AAK.ST,2014,4.474814476
AAK.ST,2015,46.661583077
AAK.ST,2016,-0.9691276159999997
AAK.ST,2017,18.635092943
AAK.ST,2018,7.671524834202732
AAK.ST,2019,41.107289441
AAK.ST,2020,-4.141173297000002
AAK.ST,2021,15.618413100000001
AAL.L,2009,69.124897676
AAL.L,2010,28.658998311000005
AAL.L,2011,-29.488606511999997
AAL.L,2012,-15.941014712999998
AAL.L,2013,-28.952128785
AAL.L,2014,-3.246298491000001
AAL.L,2015,-116.80102717899999
AAL.L,2016,170.501746546
AAL.L,2017,38.613168908
AAL.L,2018,19.673906031
AAL.L,2019,30.732219030999996
AAL.L,2020,22.872154521
AAL.L,2021,19.579788412
AAL.O,2009,0.0
AAL.O,2010,0.0
AAL.O,2011,0.0
AAL.O,2012,0.0
AAL.O,2013,2.642276423
AAL.O,2014,86.062814328
AAL.O,2015,-18.224693783
AAL.O,2016,18.024203845000002
AAL.O,2017,14.526522956000003
AAL.O,2018,-39.742083377
AAL.O,2019,-2.535583503999997
AAL.O,2020,-35.506495746
AAL.O,2021,31.787512243
AALB.AS,2009,96.32488041799999
AALB.AS,2010,51.655718828000005
AALB.AS,2011,-13.05000321
AALB.AS,2012,23.583513151
AALB.AS,2013,42.566661296
AALB.AS,2014,8.695859951
AALB.AS,2015,29.541816373
AALB.AS,2016,1.4125989610000014
AALB.AS,2017,34.816992174
AALB.AS,2018,-34.595138163
AALB.AS,2019,39.248869644
AALB.AS,2020,10.178945776999997
AALB.AS,2021,34.53673947
AAP,2009,22.511133712
AAP,2010,52.071822349
AAP,2011,7.659543720000002
AAP,2012,8.274061278999998
AAP,2013,45.580178468999996
AAP,2014,40.165583506000004
AAP,2015,-2.019337950999999
AAP,2016,15.032106493
AAP,2017,-46.057091133
AAP,2018,50.964722784
AAP,2019,4.542643549
AAP,2020,11.695910762
AAP,2021,31.845118207000002
AAPL.O,2009,95.921758879
AAPL.O,2010,46.546205989
AAPL.O,2011,24.779695911
AAPL.O,2012,32.682128643
AAPL.O,2013,11.663939874
AAPL.O,2014,37.071176904
AAPL.O,2015,-0.8882495109999979
AAPL.O,2016,14.978417995000001
AAPL.O,2017,42.211870595
AAPL.O,2018,0.18995732900000029
AAPL.O,2019,67.96519343
AAPL.O,2020,68.664450805
AAPL.O,2021,8.639426728999998
ABBN.S,2009,33.476688322
ABBN.S,2010,13.148810879999997
ABBN.S,2011,-11.067448055999998
ABBN.S,2012,11.996671369548018
ABBN.S,2013,26.89738102300413
ABBN.S,2014,-6.445376328
ABBN.S,2015,-8.748179395000001
ABBN.S,2016,23.518886340999998
ABBN.S,2017,24.609015852
ABBN.S,2018,-27.565998978
ABBN.S,2019,28.514774221
ABBN.S,2020,13.593895723
ABBN.S,2021,28.251717453
ABBV.K,2009,0.0
ABBV.K,2010,0.0
ABBV.K,2011,0.0
ABBV.K,2012,-2.399999999
ABBV.K,2013,51.215851588932956
ABBV.K,2014,26.654313239
ABBV.K,2015,-3.501003648
ABBV.K,2016,11.494916477000002
ABBV.K,2017,49.771087431999995
ABBV.K,2018,6.208974289000003
ABBV.K,2019,4.483411436999999
ABBV.K,2020,29.55900606
ABBV.K,2021,5.215497448000001
ABC,2009,42.539838115
ABC,2010,30.706358799
ABC,2011,11.612490967
ABC,2012,17.628490197
ABC,2013,52.007936509000004
ABC,2014,28.020015227
ABC,2015,16.788739092
ABC,2016,-22.525303284
ABC,2017,21.936458367
ABC,2018,-15.565560040000001
ABC,2019,17.071340296000002
ABC,2020,16.691324090000002
ABC,2021,23.070348354999997
ABF.L,2009,16.25455641
ABF.L,2010,40.220723274
ABF.L,2011,-2.8530177525035603
ABF.L,2012,38.139515363
ABF.L,2013,50.35177339
ABF.L,2014,30.037062614
ABF.L,2015,8.737466538
ABF.L,2016,-14.577477843
ABF.L,2017,7.636796461999999
ABF.L,2018,-27.511539825
ABF.L,2019,29.318823072
ABF.L,2020,-5.035976872000004
ABF.L,2021,-17.628012327999997
ABG.MC,2009,80.210535135
ABG.MC,2010,-5.828337946000001
ABG.MC,2011,-7.202631048999997
ABG.MC,2012,-37.972525068
ABG.MC,2013,7.3661413940000005
ABG.MC,2014,9.49979425899999
ABG.MC,2015,-120.82428762
ABG.MC,2016,13.666851208000004
ABG.MC,2017,-131.1509012045512
ABG.MC,2018,-53.522770415
ABG.MC,2019,53.314856189770275
ABG.MC,2020,10.449069427999994
ABG.MC,2021,0.0
ABGV.VI,2009,-5.653623322
ABGV.VI,2010,-0.43439133400000096
ABGV.VI,2011,-3.186729272061385
ABGV.VI,2012,-43.92169423213846
ABGV.VI,2013,51.39185925899999
ABGV.VI,2014,86.675400567
ABGV.VI,2015,25.867850663
ABGV.VI,2016,37.075164392999994
ABGV.VI,2017,-28.482805151999997
ABGV.VI,2018,-42.24749561
ABGV.VI,2019,-4.623391836000004
ABGV.VI,2020,-14.717678648
ABGV.VI,2021,19.377840923
ABI.BR,2009,84.159334015
ABI.BR,2010,17.823261882
ABI.BR,2011,12.922044096306621
ABI.BR,2012,36.287043584
ABI.BR,2013,20.14709866
ABI.BR,2014,23.053012022
ABI.BR,2015,26.120481405
ABI.BR,2016,-8.456127881000002
ABI.BR,2017,-2.9471408330000006
ABI.BR,2018,-40.909602772
ABI.BR,2019,30.971453737
ABI.BR,2020,-13.188408881
ABI.BR,2021,-10.798906536
ABIO.PA,2009,-3.839666583
ABIO.PA,2010,-32.841620623
ABIO.PA,2011,-46.381583204
ABIO.PA,2012,36.925272684
ABIO.PA,2013,22.757317248999996
ABIO.PA,2014,2.223758707
ABIO.PA,2015,-0.7909488700000014
ABIO.PA,2016,17.527111025
ABIO.PA,2017,28.667882442999996
ABIO.PA,2018,-5.430079760000002
ABIO.PA,2019,36.958225440999996
ABIO.PA,2020,67.68826368100008
ABIO.PA,2021,-27.584249829
ABM,2009,24.379543067
ABM,2010,29.168663534000004
ABM,2011,-20.059392318999997
ABM,2012,2.3593168280000003
ABM,2013,40.253981031
ABM,2014,4.238225336
ABM,2015,2.700414210000001
ABM,2016,39.936453739
ABM,2017,-4.746955632000001
ABM,2018,-12.467071786
ABM,2019,20.665235291000002
ABM,2020,17.513433727
ABM,2021,22.983053247999997
ABT,2009,5.962742374
ABT,2010,-9.140287547
ABT,2011,18.659184721
ABT,2012,17.646926217999997
ABT,2013,23.623988747
ABT,2014,19.094814620999998
ABT,2015,4.205593755000001
ABT,2016,-9.852365534000002
ABT,2017,43.206832526999996
ABT,2018,27.380271128000004
ABT,2019,20.974262731
ABT,2020,27.869615656
ABT,2021,10.096141958
ACCG.AS,2009,63.030159629
ACCG.AS,2010,32.48817048216824
ACCG.AS,2011,-21.452706173233523
ACCG.AS,2012,3.5001334439999994
ACCG.AS,2013,9.375403789
ACCG.AS,2014,5.832936093999999
ACCG.AS,2015,51.170825162999996
ACCG.AS,2016,12.421620374999998
ACCG.AS,2017,14.717788656
ACCG.AS,2018,-13.892221080999999
ACCG.AS,2019,38.838741682999995
ACCG.AS,2020,29.40260722999999
ACCG.AS,2021,44.949688434
ACCO.K,2009,173.51039598900002
ACCO.K,2010,31.060513084
ACCO.K,2011,36.23576738299999
ACCO.K,2012,-17.079108971000004
ACCO.K,2013,-4.461430820000002
ACCO.K,2014,34.47782727
ACCO.K,2015,-19.624006866
ACCO.K,2016,69.063419031
ACCO.K,2017,-2.5361395094484616
ACCO.K,2018,-48.297015945999995
ACCO.K,2019,44.928493446000004
ACCO.K,2020,24.094599991000003
ACCO.K,2021,5.012857434000001
ACCP.PA,2009,21.945617452
ACCP.PA,2010,31.305941152
ACCP.PA,2011,-43.80878452700001
ACCP.PA,2012,40.293982527
ACCP.PA,2013,30.494779772999998
ACCP.PA,2014,12.981017271999999
ACCP.PA,2015,12.402347971
ACCP.PA,2016,-6.016453900999999
ACCP.PA,2017,22.991972323
ACCP.PA,2018,-10.339297739
ACCP.PA,2019,16.867546599
ACCP.PA,2020,-21.937893813
ACCP.PA,2021,7.958041677000001
ACE.MI,2009,-15.949153519
ACE.MI,2010,14.766153491
ACE.MI,2011,-42.843445255
ACE.MI,2012,3.5324634990000003
ACE.MI,2013,70.390076464
ACE.MI,2014,12.060644394000002
ACE.MI,2015,52.685194394
ACE.MI,2016,-10.957787295000001
ACE.MI,2017,37.511177916
ACE.MI,2018,-17.857986221
ACE.MI,2019,48.665823975
ACE.MI,2020,3.3848761770000024
ACE.MI,2021,12.780689311
ACLS.O,2009,148.237078177
ACLS.O,2010,119.666669216
ACLS.O,2011,-82.674913503
ACLS.O,2012,29.032587234969533
ACLS.O,2013,64.975800987
ACLS.O,2014,11.093152137999999
ACLS.O,2015,10.116312575000002
ACLS.O,2016,36.4183094834496
ACLS.O,2017,77.713825327
ACLS.O,2018,-42.73032599300001
ACLS.O,2019,40.664675011
ACLS.O,2020,31.690445947
ACLS.O,2021,54.03355589
ACM,2009,-4.677188854999997
ACM,2010,5.231890876999998
ACM,2011,-24.921659351000002
ACM,2012,21.867820740000003
ACM,2013,26.240274069
ACM,2014,5.389692558999999
ACM,2015,3.604138305000001
ACM,2016,26.103054568
ACM,2017,3.4136877679999977
ACM,2018,-30.104791952
ACM,2019,53.389861716
ACM,2020,26.950730388000004
ACM,2021,25.702881214
ACN,2009,28.505590262
ACN,2010,21.241306010000002
ACN,2011,13.988112425
ACN,2012,27.040879599999997
ACN,2013,25.539818478
ACN,2014,11.353048607
ACN,2015,19.624954370999998
ACN,2016,15.166347915
ACN,2017,29.650987843
ACN,2018,-4.348393822000002
ACN,2019,43.112359276
ACN,2020,27.623313495999998
ACN,2021,22.887262592
ACS.MC,2009,15.327472994999987
ACS.MC,2010,10.174487604000003
ACS.MC,2011,-34.047783779
ACS.MC,2012,8.766789819000003
ACS.MC,2013,38.349830708999995
ACS.MC,2014,21.978860153
ACS.MC,2015,4.010138446000001
ACS.MC,2016,20.767258978
ACS.MC,2017,13.256145418000001
ACS.MC,2018,10.542549178000002
ACS.MC,2019,12.191969363
ACS.MC,2020,-1.7074314379999955
ACS.MC,2021,-8.924448374999999
ACT1k.DE,2009,0.0
ACT1k.DE,2010,0.0
ACT1k.DE,2011,0.0
ACT1k.DE,2012,0.0
ACT1k.DE,2013,0.0
ACT1k.DE,2014,0.0
ACT1k.DE,2015,0.0
ACT1k.DE,2016,0.0
ACT1k.DE,2017,-55.90121073
ACT1k.DE,2018,-15.667914561
ACT1k.DE,2019,1.540710985604428
ACT1k.DE,2020,23.356918788
ACT1k.DE,2021,13.940505684000012
ACX.MC,2009,35.445952542
ACX.MC,2010,-1.084578361000002
ACX.MC,2011,-19.709941543000003
ACX.MC,2012,-8.95347969
ACX.MC,2013,15.474293460000002
ACX.MC,2014,33.873649158
ACX.MC,2015,-16.851470308
ACX.MC,2016,38.299533671
ACX.MC,2017,-0.1865825559999994
ACX.MC,2018,-23.230119073000004
ACX.MC,2019,24.274722742
ACX.MC,2020,5.606016137
ACX.MC,2021,27.143152688
AD.AS,2009,8.507849101000001
AD.AS,2010,9.85638638
AD.AS,2011,10.538977980999999
AD.AS,2012,1.6293245010000001
AD.AS,2013,31.353534251
AD.AS,2014,25.421889644
AD.AS,2015,33.214363538
AD.AS,2016,13.544720848999999
AD.AS,2017,-2.841590136950896
AD.AS,2018,23.547528457000002
AD.AS,2019,6.995439898000001
AD.AS,2020,8.521269174
AD.AS,2021,26.79756565
ADAG.DE,2009,97.29483007900001
ADAG.DE,2010,102.207684443
ADAG.DE,2011,-39.52520424
ADAG.DE,2012,17.323348402
ADAG.DE,2013,-0.3601087679999999
ADAG.DE,2014,-19.861140313
ADAG.DE,2015,150.627709948
ADAG.DE,2016,-26.965942804
ADAG.DE,2017,-8.016363969999999
ADAG.DE,2018,9.526204768
ADAG.DE,2019,36.319712146
ADAG.DE,2020,-5.372180524999999
ADAG.DE,2021,61.999112550999996
ADB.MI,2009,0.0
ADB.MI,2010,0.0
ADB.MI,2011,0.0
ADB.MI,2012,0.0
ADB.MI,2013,0.0
ADB.MI,2014,0.0
ADB.MI,2015,2.762749964810242
ADB.MI,2016,53.359924973
ADB.MI,2017,57.590489938
ADB.MI,2018,-29.404858866999998
ADB.MI,2019,10.667561328
ADB.MI,2020,-17.742125303
ADB.MI,2021,17.268852709999997
ADBE.O,2009,64.261238167
ADBE.O,2010,-13.325873506999999
ADBE.O,2011,-3.9410996260000006
ADBE.O,2012,30.527401724
ADBE.O,2013,48.604213376999994
ADBE.O,2014,22.013465143
ADBE.O,2015,27.396938932
ADBE.O,2016,10.506239436999998
ADBE.O,2017,56.237558831
ADBE.O,2018,28.655416095
ADBE.O,2019,40.199715721
ADBE.O,2020,45.856549375
ADBE.O,2021,17.261604292
ADEN.S,2009,57.876056632
ADEN.S,2010,12.008308659999997
ADEN.S,2011,-36.863244093
ADEN.S,2012,26.640960391
ADEN.S,2013,43.84381649
ADEN.S,2014,1.1157810309999996
ADEN.S,2015,4.250763275999999
ADEN.S,2016,4.853559992000001
ADEN.S,2017,15.702574023999999
ADEN.S,2018,-41.991137157
ADEN.S,2019,35.945107747
ADEN.S,2020,12.69136774
ADEN.S,2021,-16.782160978
ADI.O,2009,58.385566945
ADI.O,2010,23.867122402
ADI.O,2011,0.20982507599999956
ADI.O,2012,20.336306589
ADI.O,2013,23.489695284
ADI.O,2014,12.952238805
ADI.O,2015,5.499470359
ADI.O,2016,32.965800759000004
ADI.O,2017,25.064226372
ADI.O,2018,0.5867307970000004
ADI.O,2019,40.000862205999994
ADI.O,2020,30.347015528999997
ADI.O,2021,14.528388134
ADLG.DE,2009,18.104054559
ADLG.DE,2010,-6.389282605887711
ADLG.DE,2011,-0.22564988922387563
ADLG.DE,2012,102.437256747
ADLG.DE,2013,119.375200181
ADLG.DE,2014,71.939687032
ADLG.DE,2015,80.62311338
ADLG.DE,2016,6.795270667000002
ADLG.DE,2017,2.597498280999999
ADLG.DE,2018,1.1930560369999998
ADLG.DE,2019,10.307174836000002
ADLG.DE,2020,17.485450471999997
ADLG.DE,2021,-18.369525073
ADM,2009,12.842648962999998
ADM,2010,0.7403869909999998
ADM,2011,2.0362478390000014
ADM,2012,-0.169174822
ADM,2013,50.626724399
ADM,2014,22.488248114
ADM,2015,-27.895931221
ADM,2016,26.328575934000003
ADM,2017,-9.120863304999999
ADM,2018,6.882941776999999
ADM,2019,18.447996668000002
ADM,2020,14.530017279
ADM,2021,21.313112658999998
ADNT.K,2009,0.0
ADNT.K,2010,0.0
ADNT.K,2011,0.0
ADNT.K,2012,0.0
ADNT.K,2013,0.0
ADNT.K,2014,0.0
ADNT.K,2015,0.0
ADNT.K,2016,19.317272584
ADNT.K,2017,33.983660895
ADNT.K,2018,-144.485600551
ADNT.K,2019,79.07460124200001
ADNT.K,2020,113.722305142
ADNT.K,2021,22.013458321999998
ADP.O,2009,13.217701486
ADP.O,2010,12.171846479
ADP.O,2011,19.421530558
ADP.O,2012,8.418586423
ADP.O,2013,38.114626497
ADP.O,2014,19.451528816
ADP.O,2015,5.009087016999999
ADP.O,2016,22.952512489999997
ADP.O,2017,17.421188545
ADP.O,2018,15.46550044
ADP.O,2019,29.454545768
ADP.O,2020,9.323846718
ADP.O,2021,15.138195444
ADP.PA,2009,23.236113296
ADP.PA,2010,8.757848114
ADP.PA,2011,-7.522110349
ADP.PA,2012,13.349401239999999
ADP.PA,2013,38.646160524
ADP.PA,2014,22.567412371
ADP.PA,2015,11.834064216999998
ADP.PA,2016,-1.3968778729999993
ADP.PA,2017,48.574512084
ADP.PA,2018,7.647062368999999
ADP.PA,2019,10.385731822999999
ADP.PA,2020,-35.511942996
ADP.PA,2021,6.55149716
ADS,2009,46.671985686
ADS,2010,16.393719585
ADS,2011,40.250518135
ADS,2012,34.518538411
ADS,2013,62.088808883
ADS,2014,13.202959094999999
ADS,2015,-1.5594488489999998
ADS,2016,-9.235226366000004
ADS,2017,12.602322528
ADS,2018,-44.755276231
ADS,2019,-17.46606733
ADS,2020,14.08936768600001
ADS,2021,42.349859837000004
ADSGn.DE,2009,42.397810688
ADSGn.DE,2010,28.98398047
ADSGn.DE,2011,6.983620688
ADSGn.DE,2012,32.514197359
ADSGn.DE,2013,35.499844866
ADSGn.DE,2014,-40.793445244
ADSGn.DE,2015,50.537522773999996
ADSGn.DE,2016,55.769397667
ADSGn.DE,2017,14.804773435999998
ADSGn.DE,2018,12.577928648
ADSGn.DE,2019,50.424714403
ADSGn.DE,2020,7.986639814000001
ADSGn.DE,2021,-4.427359556000002
ADSK.O,2009,39.144981779999995
ADSK.O,2010,50.61513204900001
ADSK.O,2011,-16.267999652999997
ADSK.O,2012,21.388476469
ADSK.O,2013,39.666877316
ADSK.O,2014,19.260777575
ADSK.O,2015,8.713458554000002
ADSK.O,2016,25.770085892999997
ADSK.O,2017,40.598827792
ADSK.O,2018,26.022853102
ADSK.O,2019,41.365160245
ADSK.O,2020,58.724989695999994
ADSK.O,2021,-5.333940324000001
AEE,2009,-4.566694083
AEE,2010,8.292656408
AEE,2011,22.132193217
AEE,2012,-1.6555385230000006
AEE,2013,22.008135147
AEE,2014,30.061840402999998
AEE,2015,-1.327196565
AEE,2016,24.334328547
AEE,2017,15.858275713999998
AEE,2018,13.854965358999998
AEE,2019,19.606530800999998
AEE,2020,5.970807553
AEE,2021,7.928008335999997
AEFES.IS,2009,54.662059237
AEFES.IS,2010,38.579282448
AEFES.IS,2011,3.5272406989999996
AEFES.IS,2012,16.133060447
AEFES.IS,2013,-5.593320169000001
AEFES.IS,2014,-0.5661265440000012
AEFES.IS,2015,-13.348441667999998
AEFES.IS,2016,-0.8042067439999983
AEFES.IS,2017,35.710959865
AEFES.IS,2018,-10.543256630000002
AEFES.IS,2019,21.209340537
AEFES.IS,2020,14.693404395
AEFES.IS,2021,1.970144108
AENA.MC,2009,0.0
AENA.MC,2010,0.0
AENA.MC,2011,0.0
AENA.MC,2012,0.0
AENA.MC,2013,0.0
AENA.MC,2014,0.0
AENA.MC,2015,45.195052092
AENA.MC,2016,24.630319478
AENA.MC,2017,31.280274331
AENA.MC,2018,-17.046317368
AENA.MC,2019,28.443092856
AENA.MC,2020,-6.070226564999998
AENA.MC,2021,6.744151436000001
AEP.O,2009,12.514722043999999
AEP.O,2010,9.262226461000001
AEP.O,2011,19.557794441
AEP.O,2012,8.438606447
AEP.O,2013,14.942204244000001
AEP.O,2014,31.682113534
AEP.O,2015,0.7315648349999995
AEP.O,2016,12.87493995
AEP.O,2017,20.136071116
AEP.O,2018,6.128508835
AEP.O,2019,27.202944128
AEP.O,2020,-5.532248803999998
AEP.O,2021,1.854852091999998
AES,2009,62.66509552
AES,2010,-4.430658437000002
AES,2011,0.04508491300000084
AES,2012,-8.329264555999998
AES,2013,34.073530852
AES,2014,-2.629698551999999
AES,2015,-28.770791504
AES,2016,26.670587251999997
AES,2017,-2.420738825
AES,2018,34.727603490999996
AES,2019,38.371520614000005
AES,2020,27.722480122
AES,2021,0.37015795900000015
AFGA.OL,2009,67.05755395371088
AFGA.OL,2010,34.485148022574016
AFGA.OL,2011,21.006576425670886
AFGA.OL,2012,36.50278546357131
AFGA.OL,2013,27.877194924999998
AFGA.OL,2014,24.251139747
AFGA.OL,2015,67.53313534526454
AFGA.OL,2016,18.114197227521476
AFGA.OL,2017,-5.9436213490618846
AFGA.OL,2018,7.310521787
AFGA.OL,2019,35.36993583081038
AFGA.OL,2020,9.098720286000002
AFGA.OL,2021,9.808472787
AFKS.MM,2009,198.017157008
AFKS.MM,2010,15.76290338
AFKS.MM,2011,-5.227851272000002
AFKS.MM,2012,11.636123034
AFKS.MM,2013,62.854254213000004
AFKS.MM,2014,-83.494938536
AFKS.MM,2015,56.210827928
AFKS.MM,2016,35.922793214
AFKS.MM,2017,-34.48764826200001
AFKS.MM,2018,-36.443533828
AFKS.MM,2019,71.972674072
AFKS.MM,2020,75.24441660599999
AFKS.MM,2021,-3.026289677000001
AFRNA.L,2009,-34.226317584
AFRNA.L,2010,65.04283922123437
AFRNA.L,2011,-18.792581749
AFRNA.L,2012,62.18845515295344
AFRNA.L,2013,31.094255398999998
AFRNA.L,2014,49.593211313
AFRNA.L,2015,-6.9576820252720735
AFRNA.L,2016,56.946743237
AFRNA.L,2017,15.324765746
AFRNA.L,2018,-34.96947044
AFRNA.L,2019,43.497956443
AFRNA.L,2020,-17.053630217
AFRNA.L,2021,32.709549571000004
AFRY.ST,2009,60.387550682000004
AFRY.ST,2010,44.07507122129721
AFRY.ST,2011,-17.851372464
AFRY.ST,2012,39.585489779
AFRY.ST,2013,43.217975275078125
AFRY.ST,2014,15.204871957999998
AFRY.ST,2015,17.711522149254222
AFRY.ST,2016,19.209287032
AFRY.ST,2017,11.792381725000002
AFRY.ST,2018,-6.648466606
AFRY.ST,2019,48.63279919
AFRY.ST,2020,28.091297252000007
AFRY.ST,2021,9.914320141000001
AFXG.DE,2009,44.193638443
AFXG.DE,2010,16.503751325
AFXG.DE,2011,19.069543113
AFXG.DE,2012,32.855551562
AFXG.DE,2013,14.212835703000001
AFXG.DE,2014,-10.102758208
AFXG.DE,2015,34.308964065000005
AFXG.DE,2016,25.496941756000002
AFXG.DE,2017,43.181450827
AFXG.DE,2018,33.532235536
AFXG.DE,2019,56.680100846
AFXG.DE,2020,-0.704088005000002
AFXG.DE,2021,47.13713065499999
AGCO.K,2009,40.805528373
AGCO.K,2010,54.02330654
AGCO.K,2011,-9.316257513999995
AGCO.K,2012,18.427350796
AGCO.K,2013,21.267543569
AGCO.K,2014,-23.670818032
AGCO.K,2015,4.998068398999999
AGCO.K,2016,26.967642678
AGCO.K,2017,23.607094125999996
AGCO.K,2018,-22.384414684
AGCO.K,2019,37.344460422999994
AGCO.K,2020,39.310136327
AGCO.K,2021,23.364569995
AGFB.BR,2009,135.320000412
AGFB.BR,2010,-15.919106186000004
AGFB.BR,2011,-85.621542362
AGFB.BR,2012,13.895589225496085
AGFB.BR,2013,31.86442122179346
AGFB.BR,2014,24.358611026000005
AGFB.BR,2015,99.079102437
AGFB.BR,2016,-19.615298726
AGFB.BR,2017,9.384139805
AGFB.BR,2018,-8.76717342
AGFB.BR,2019,35.069774247
AGFB.BR,2020,-13.219050719000002
AGFB.BR,2021,3.0617205499999987
AGHOL.IS,2009,79.366177022
AGHOL.IS,2010,41.96824467900002
AGHOL.IS,2011,-23.33367079200002
AGHOL.IS,2012,53.512409733
AGHOL.IS,2013,27.675448853
AGHOL.IS,2014,6.687390874999998
AGHOL.IS,2015,-36.582249942
AGHOL.IS,2016,10.089348464
AGHOL.IS,2017,71.894921599
AGHOL.IS,2018,-64.384532902
AGHOL.IS,2019,66.243446059
AGHOL.IS,2020,55.445180002
AGHOL.IS,2021,-10.508595177
AGL.MI,2009,61.829230216
AGL.MI,2010,19.02968465199998
AGL.MI,2011,-28.911580518
AGL.MI,2012,21.305706798000003
AGL.MI,2013,48.852842857
AGL.MI,2014,4.937292899000001
AGL.MI,2015,39.043128765
AGL.MI,2016,0.8543354549999993
AGL.MI,2017,33.297285558
AGL.MI,2018,-40.74064371
AGL.MI,2019,28.131576082
AGL.MI,2020,-21.142312220999997
AGL.MI,2021,47.253286485
AGNr.AT,2009,38.70328866500001
AGNr.AT,2010,-39.987390155
AGNr.AT,2011,-45.29627607499995
AGNr.AT,2012,48.273894006
AGNr.AT,2013,127.253917444
AGNr.AT,2014,34.52404616
AGNr.AT,2015,10.416969262
AGNr.AT,2016,10.012422904999998
AGNr.AT,2017,33.298458056
AGNr.AT,2018,-2.7931317249999568
AGNr.AT,2019,20.518744163999997
AGNr.AT,2020,-4.943742987999995
AGNr.AT,2021,18.011567207
AGR,2009,0.0
AGR,2010,0.0
AGR,2011,0.0
AGR,2012,0.0
AGR,2013,0.0
AGR,2014,0.0
AGR,2015,6.31229236
AGR,2016,4.718108994
AGR,2017,34.350151384
AGR,2018,3.248529085
AGR,2019,6.284286616999999
AGR,2020,-5.060899176000001
AGR,2021,10.555811
AGRORq.L,2009,0.0
AGRORq.L,2010,0.0
AGRORq.L,2011,-78.840869376
