,Unnamed: 0,Total Current Assets,Total Current Liabilities,Total Debt,"Total Assets, Reported",Net Income - Actual,Revenue Per Share,Total Revenue,Total Equity,CO2 Emissions,ESG Score,Company Market Capitalization,PPE Total,P/E (Daily Time Series Ratio),returns_monthly
4611,4611,-0.3942887325191339,-0.4093151658474107,-0.3208161999101144,-0.4097364975667167,-0.3811263964439579,-0.0690123056146943,-0.4134600054066503,-0.3960042651820842,-0.2488112513624727,-0.5832315368400625,-0.1162992163040042,-0.3553747736109558,-0.067066790678279,-0.15422476473252
4612,4612,-0.3898210232991363,-0.38817298235333,-0.3050718469626862,-0.3981414497710386,-0.3723049339636737,-0.0667776918722768,-0.4107705421532815,-0.3853367978910612,-0.2501394047003606,0.985985391860986,-0.1107019356164662,-0.3560407503281306,2.454612837644728,-0.1523841541888407
4613,4613,-0.3328351650969304,-0.3434136507062352,-0.122293094096147,-0.2277348693431528,-0.3108714527991705,-0.0750440363341639,-0.3579857228151112,-0.1921460398670561,-0.2014958951072292,-1.9860680883205468,-0.1018463899755221,-0.0683941323688348,-0.1319972645706013,-2.2449777496498826
4614,4614,-0.3570519473867106,-0.3744709445420172,-0.0973508111355015,-0.1508991145866158,-0.3705867715591225,-0.0731790780770932,-0.330704030988308,0.0179474985430381,-0.2003508710549663,-1.925689615977547,-0.1142866744021877,0.1087346845500088,-0.1302741761609626,-2.675681702850015
4615,4615,-0.3585817884748734,-0.3672446388403176,-0.0596359404443714,-0.1455244795891273,-0.310636285319218,-0.0710173503814364,-0.3171588585655919,-0.009022774890112,-0.2060021856629392,-1.4280363199832062,-0.1228614625268227,0.1547209538770315,0.0204633163224919,-3.837224030127334
4616,4616,0.8606211777017337,2.0072373558186025,1.7366320992370785,2.340255894633518,3.393527909242765,-0.0552785784221721,1.71312199112046,3.083926863406427,-0.2186972504502928,-0.2024316958748294,0.5891043884901326,0.6881254369330623,-0.0811638090407275,-0.4006882317451967
4617,4617,0.6801537863618392,1.4841749631022998,1.3296112546537069,2.201480499755463,3.195908178190215,-0.0542801091463381,1.737551051479742,2.973227625982388,-0.2222949186859469,0.5017460852301828,0.6056358490653972,0.6984628663048695,-0.080654784431807,-0.2054333556288244
4618,4618,0.8643773033620261,1.7221173810610229,1.4539977368499135,2.4136124725295747,2.9457780614579883,-0.0514875116130547,1.836526522832297,3.337296438579089,-0.2221573967595543,0.3319362688959833,0.6193120205774368,0.8271796115300037,-0.0830676372392788,-0.2809142081659318
4619,4619,0.8609101104448331,1.5335652026320912,1.326532945745093,2.28631662165059,2.8064123924112074,-0.049476270207732,1.9086104397687351,3.102897498852079,-0.2220155487327948,0.8440027162391469,0.6270770207983527,0.7906979355752048,-0.065550700492105,-0.3315735560824839
4620,4620,1.421844137898037,2.2304812384932595,1.6479882038131088,2.5367831878154266,3.060905670491173,-0.0534568474845797,1.6489572312077063,3.425119321495136,-0.228131956032551,-0.0590635692603348,0.8730320614174922,0.9107953837340956,-0.0523503145777213,-0.0122053812989781
4621,4621,1.307946850568248,1.9194412660304447,1.3588551892855372,2.2290439057641205,2.872961401470957,-0.0549708712646064,1.5467637278490605,3.045985592515124,-0.2195529038623777,-0.081233945045636,0.7461905096699329,0.7858298940427749,-0.0444425286901101,-0.8623963369992119
4622,4622,1.546952015660084,1.9968851616131584,1.3732776365795978,2.1798964569550328,2.5479977742393563,-0.0571848635705044,1.394256993647357,2.762653572535653,-0.2247540865095516,0.6595146214186438,0.7877448715860682,0.7801886929728413,-0.0591584134556249,-0.2091627326498735
4623,4623,1.1258036493183767,1.952631506994465,1.4299413227863025,2.0396835148248256,2.630151119576916,-0.0560858195010034,1.3875131178780706,2.6423016294289736,-0.225747607631905,0.3966002200695322,0.820646825300642,0.7882639148089899,-0.0563240340791742,-0.1018153311746855
4624,4624,0.9423891439988682,1.7967163988468196,1.412497572304158,1.9960154127884344,2.763403281086636,-0.0540994497486204,1.4371547594329004,2.4809954321543284,-0.2268573851551803,0.2839128510447988,0.8078468296311176,0.8369156945948638,-0.0627839436389891,-0.3522149919237842
4625,4625,0.8934439373178273,1.9369056547281795,1.3444327419914766,1.9290340444454008,2.9534005367985867,-0.051999737800177,1.4609961791649833,2.196491696456156,-0.2338715700076479,0.2612725668236677,1.1267372432187048,0.8811862370015507,0.1488734790857634,0.662425187275879
4626,4626,1.2120789664078622,2.1712129510575098,1.6082552166037796,2.045808716160083,3.3952217926517867,-0.0514836094099909,1.5523882881379674,2.158940997471086,-0.2347112825098763,0.6311170540235108,1.265663148317505,0.9163506781887508,-0.0487098284077575,-0.0254838674986481
4627,4627,0.929156024364915,2.1835407548441457,1.4525155881161365,2.016786928881126,3.759689039492989,-0.0483342429318187,1.6970038482029954,2.1509621713865914,-0.2289116428463696,0.746567947147416,1.466705222296736,0.9989642065479304,-0.0364770898468558,-0.4217562844191831
4628,4628,0.1359200714597812,-0.2247273246284815,-0.031115294394624,-0.1504718088744181,-0.3318185796629378,-0.0405860378253347,-0.1384776594102767,-0.2709184231838888,-0.2380757310515194,-0.3950437687823928,-0.1054881087690508,-0.2239164619369106,-0.0818253064529492,-1.139701261999628
4629,4629,0.0580238039201789,-0.203074643618621,-0.1182770410848167,-0.1852021171256894,-0.293390011390262,-0.0379077247044937,-0.1174904941531615,-0.2835841121431917,-0.2441472369891836,0.0657417779027763,-0.0979997620786038,-0.2155548847165014,-0.0822264949685729,0.756421040002577
4630,4630,0.0232363016510093,-0.1571614769517269,-0.1437015924411449,-0.197327515687321,-0.2356172945865567,-0.0311266441836979,-0.0905709568500352,-0.2698582994383965,-0.2429855682558166,-0.1791585558303967,-0.0843947765232523,-0.2060192504206238,-0.0646862031813367,0.9896990625105638
4631,4631,-0.0804327665730607,-0.197384888024789,-0.1893061688650521,-0.1991817433024158,-0.259049348411359,-0.0296859478126922,-0.0942926808222969,-0.1921344900978288,-0.2429855682558166,-0.1791585558303967,-0.0791564469936184,-0.198803094737257,-0.0690242054703953,0.0279746104558097
4632,4632,-0.0524062904924174,-0.147204404662521,-0.1501432388610218,-0.1645764391600274,-0.2302533304579875,-0.0202937322263004,-0.0446510392674672,-0.198383640597573,-0.2465872528191704,-0.4036643755724876,-0.0796745591252134,-0.1843707833705234,-0.0839681114885179,-0.4847495709956179
4633,4633,-0.027442501488628,-0.1350346496423804,-0.1651927490809112,-0.1624305352908726,-0.2025865681106305,-0.021824816153403,-0.0573832528567837,-0.159772817867011,-0.2413250125099028,0.2134847006384615,-0.0730748247764054,-0.1779277872246601,-0.089747467025452,0.1109319157082871
4634,4634,0.0116789919270327,-0.1270531869343661,-0.1612023486438193,-0.148888423495236,-0.1977872317850686,-0.0183661349325223,-0.047169499098321,-0.1257372660380474,-0.2447118252418716,0.1149301101453778,-0.065820001262346,-0.1694230323121207,-0.0567980602970811,0.028294295667975
4635,4635,0.0114478457325532,-0.1454658682310723,-0.1479770214808862,-0.1492634358218844,-0.2138791241707762,-0.0152701407356963,-0.0356965154244314,-0.1216641590158928,-0.2436104324697564,0.4857431705870867,-0.0809872412238722,-0.1654999635477506,-0.1091857670079866,-1.0339679048875012
4636,4636,-0.016058551410511,-0.1576356232512129,-0.1552737537087114,-0.1716808393481999,-0.1610864245895951,-0.0119814690555873,-0.0420206478885754,-0.1470513329211033,-0.2436104324697564,0.4857431705870867,-0.0850227841120834,-0.16615858093155,-0.1014553940820446,-0.4564295249302396
4637,4637,0.0132392287397696,-0.1307673329470065,-0.1537916049749344,-0.1559719896652613,-0.154028577052004,-0.007214553305627,-0.05159079524582,-0.1288618412879195,-0.246958641388294,0.6195133197468811,-0.0814433913300702,-0.1628941295509793,0.0042509260693335,0.2531448159488424
4638,4638,-0.3153735851517335,-0.1797144454604193,-0.2942100445817067,-0.3723362984103464,-0.3114585151562944,-0.0862544239974878,-0.1273919490985879,-0.4226608122616138,-0.2577889262885747,-1.0413006006942596,0.0630515919412271,-0.2250298819138915,-0.0846077958728022,-0.8622279924975387
4639,4639,-0.3262006040766201,-0.2319842083411325,-0.3205574217805026,-0.3900479789679662,-0.3141743930697748,-0.0865969783022435,-0.1618187096403292,-0.4112563348015178,-0.2510565942869984,-0.991193996752076,0.0353416493861386,-0.2643526082443399,-0.0771600748544524,-0.4166607376123418
4640,4640,-0.3369440935856346,-0.2513952900967648,-0.2908486397923924,-0.3909652062838782,-0.3206529660768347,-0.0865181779717294,-0.1617581246751857,-0.4177633042939088,-0.263708365374965,-0.4858855300097225,0.0077721467890406,-0.267528983409428,-0.1125135597593706,-0.8144742353379243
4641,4641,-0.3252759282848879,-0.2456380803167096,-0.2969162965913725,-0.3860942466338559,-0.3224083148402604,-0.0866337560543355,-0.1779609187360741,-0.4137406865076526,-0.2435574404467453,-0.0543284133777413,0.0148173187842741,-0.2592827126252437,-0.0943887933483568,-0.5753400872655935
4642,4642,-0.3169033703025172,-0.200310805642823,-0.2829396818026494,-0.3753763111480102,-0.3241119997644717,-0.086401964994507,-0.157144171191666,-0.4195227796670061,-0.2419476231086211,0.466402747358827,-0.1119060992369293,-0.243348258829979,-0.1077821863682826,-6.027976964639718
4643,4643,-0.0773700794962069,-0.1700424514210965,-0.2152437717061493,-0.2344537360255126,-0.2988556085233725,-0.0028714534772709,-0.1662366833236877,-0.2618236773672969,-0.2635000334110186,-1.0054579677091593,-0.1142056510085345,-0.1995762542747606,-0.0869506886128214,0.7635282207587023
