RIC,Total Current Assets,Total Current Liabilities,Total Debt,"Total Assets, Reported",Net Income - Actual,Revenue Per Share,Total Revenue,Total Equity,Total CO2 Equivalent Emissions To Revenues USD in million,ESG Score,Company Market Capitalization,"Property Plant And Equipment, Total - Gross",P/E (Daily Time Series Ratio),Year,returns_yearly
BVIC.L,768.739248,881.9120177,839.8869501,2139.837798,204.282041,7.113154216,1898.50086,510.4448267,33.09191467,67.86225756,3187.460578,1131.973458,29.85148515,2019,14.370754644000002
BVIC.L,799.1165416,752.877052,961.600558,2196.763236,153.3160608,6.827335732,1824.264108,484.997998,30.04259612,72.03787925,2964.053524,1269.648554,22.94433456,2020,-4.198167303000002
BVIC.L,822.0617557,760.8988522,881.3385784,2336.045697,157.3680494,7.0791004,1892.951447,553.2952525,24.91349481,76.71903875,3327.860718,,23.83790227,2021,11.749909642
IPN.PA,962.5683175,441.7774423,236.2323702,2186.741868,185.1771693,17.27156744,1451.072811,1237.097608,,36.81685011,4664.810446,718.2524706,24.38778849,2009,36.994387227000004
IPN.PA,933.9202886,440.942278,42.05033499,2257.441448,212.3288043,18.88400103,1592.485541,1406.722785,,29.67875058,2571.895557,790.9250988,14.47378429,2010,-45.166407922000005
IPN.PA,855.8330546,444.6164136,26.03839208,2244.925423,190.9222398,18.54254998,1565.511337,1440.960471,,38.7171354,2643.770284,820.0321049,18.36022381,2011,12.532650584
IPN.PA,819.0938511,479.4951456,26.84271845,2116.064725,166.9486896,18.76899641,1566.563107,1295.91068,,42.5493968,2531.81882,,23.28065585,2012,-0.6106675179999996
IPN.PA,800.0171522,576.5291851,26.703346,2060.737281,191.158116,20.26813288,1685.40875,1190.782668,16.35341262,43.38695012,3978.236966,854.0518788,32.91572081,2013,46.870549582
IPN.PA,827.2328669,517.1413256,30.1619155,2151.540809,211.8614826,21.18517437,1761.827528,1335.320395,18.2882006,46.72959981,4309.153619,912.9298733,22.79740004,2014,27.489831807999998
IPN.PA,812.4357346,496.2196818,12.21798827,2072.582109,201.3718873,19.60351502,1611.80669,1288.574366,17.21628176,52.62090208,5513.276335,851.6300732,36.03475877,2015,40.194172615
IPN.PA,879.551699,501.1891704,17.48460594,2104.668716,249.590351,19.99555941,1650.937761,1327.635451,15.83989344,50.73200436,6034.207587,859.2434921,24.3501315,2016,15.43489557
IPN.PA,1104.289319,590.0967199,319.7014298,2547.834315,278.862124,21.23132157,1756.833474,1428.616484,11.48193978,62.29068211,9996.634381,871.8460892,38.34142622,2017,42.087351455000004
IPN.PA,1219.275201,1129.784911,434.4957474,3685.176521,452.8061224,29.07020567,2413.358765,1829.872482,10.09883507,64.48114132,10845.22358,1049.891436,27.17064174,2018,16.817257222000002
IPN.PA,1359.757776,1100.100927,384.897697,3873.520506,555.8003683,32.3618843,2693.366364,2111.546931,10.1476538,69.98973854,7422.536101,1071.77264,16.22746385,2019,-26.632044096
IPN.PA,1509.427617,1628.253705,1135.79804,4828.038473,610.1830874,36.32745148,3018.631034,1962.984553,7.723141075,71.70211015,6950.422955,1312.355671,,2020,1.3490015169999978
IPN.PA,1928.187592,1481.558378,1063.507572,5267.464582,739.3213186,39.31370784,3280.654617,2602.711285,7.425103685,69.28031541,7670.087696,1461.284807,10.92025905,2021,21.987113691
SLRS.MC,426.7832432,167.1656812,130.1044156,543.6700633,6.909132368,1.553155644,156.5535847,326.9188298,,,366.0322386,64.36029689,,2009,47.66081744
SLRS.MC,148.5440646,101.0078452,91.94439672,471.0087041,3.336785023,1.299828673,129.5410296,328.2053485,,,192.0072068,291.2171448,,2010,-45.922838176
SLRS.MC,291.7717878,176.9607384,175.8919136,592.1302923,8.977473498,2.186792992,217.6857735,310.8728513,,,124.5518717,282.3115511,16.67818873,2011,-22.77111334794509
SLRS.MC,164.7184466,110.1294498,187.8744337,439.5080906,-35.09919657,1.467058664,144.6459547,164.2718447,,,92.08652945,301.7605178,,2012,54.328589263
SLRS.MC,101.4038421,142.2960207,200.7269897,412.1213321,,0.475514568,46.70677644,127.7562276,,,104.8397538,659.13289,,2013,15.771380539222761
SLRS.MC,36.12859774,108.6703137,160.4227946,266.7001127,,0.482664583,47.40907716,27.17788713,,,87.8002798,341.4039091,,2014,28.215292488999992
SLRS.MC,30.097381,105.9843948,137.9302002,236.8487268,,0.288295568,30.09254219,31.41716567,,,83.91769481,,45.25032092,2015,10.432456641999998
SLRS.MC,20.93265712,39.83557954,115.4559573,186.5944114,,0.167669077,17.95701611,44.15243101,,,88.15035164,,18.04670913,2016,16.883063805000003
SLRS.MC,48.58915055,35.2617746,187.8469302,265.211312,,0.22683461,24.29352397,42.35912532,,,214.3182449,,17.57601898,2017,90.19843436675684
SLRS.MC,41.75453749,16.63367762,260.6674584,336.9525318,18.68573705,0.348619192,37.33640431,66.81541728,,15.39082948,568.2060548,,16.74762408,2018,138.877465271
SLRS.MC,121.9504083,19.40086246,247.3988439,452.644738,24.30238515,0.332057237,38.75470227,196.0202771,5.258870632,17.26454144,952.4762424,,46.43857133,2019,63.5243607
SLRS.MC,154.8550546,90.8167612,394.9297132,673.1901442,26.2532169,0.309876718,38.71936865,216.6423783,3.987468833,49.21553417,3607.521628,,84.40746956,2020,139.75692304700002
SLRS.MC,128.9826575,105.5776746,513.3317049,873.8483146,36.64293201,0.520633986,65.05373718,271.7562286,2.914615641,58.38978416,2422.164723,,49.91108131,2021,-50.561946997999996
GRLS.MC,875.8613942,443.8545729,641.6740051,1649.737913,154.958946,2.235769817,1140.045568,670.9844704,44.19944773,34.35739208,3355.786511,646.4097511,19.876021,2009,8.895950595999999
GRLS.MC,1438.152093,428.1094314,1169.869152,2372.41167,200.5747282,2.582584036,1309.381263,810.8157247,40.81778746,47.04055244,2598.833186,797.9886045,17.68833734,2010,-8.299411932
GRLS.MC,1530.442111,566.0169888,1146.438365,2526.897198,182.9063604,2.57330963,1325.871179,927.0818005,85.08484374,38.45039644,4683.646653,877.9278978,47.29117447,2011,34.637052305
GRLS.MC,2497.365696,836.3456311,3827.849838,7300.970874,194.8952791,3.772961741,2324.418123,2152.112621,53.96365903,43.99401352,10681.99427,1360.908738,50.52518592,2012,83.330443379
GRLS.MC,2552.46464,782.2263563,3800.076525,7424.891809,401.8644001,5.045320502,3458.074731,2476.208571,49.90273831,43.78293679,14831.75592,1508.132784,39.04688097,2013,30.939226984
GRLS.MC,2940.9517,983.1706848,3851.220551,8028.474036,616.8896504,5.533682702,3768.496578,2888.173846,47.42119228,57.32242206,12971.87035,1704.922066,27.06722675,2014,-0.11275195700000129
GRLS.MC,3524.008952,1306.128349,5181.086312,10221.67665,669.4059428,5.92258563,4059.014093,3215.5362,46.47549462,53.05202784,14110.64468,2013.71076,27.42043379,2015,30.660472428000002
GRLS.MC,3355.167733,1143.564905,5167.406957,10427.46604,667.6957864,3.115934425,4272.936871,3579.677675,50.53375266,56.72943272,12636.98421,2506.614828,36.40921801,2016,-9.001234854000002
GRLS.MC,3282.710261,1126.748318,5135.660219,10649.46594,659.1372947,6.223008005,4257.600925,3912.406434,41.60765422,59.02174496,18448.93749,2753.044575,29.05835465,2017,29.092951712999998
GRLS.MC,3533.206176,1173.194899,7211.099915,13099.96761,716.8739484,7.570353096,5179.967851,4353.449455,42.46861346,65.49714275,16031.02767,3167.346841,22.31512069,2018,-2.8415325719999993
GRLS.MC,3994.920406,1442.014176,7204.362786,14309.85182,773.7262794,7.503400838,5145.79778,4846.263419,42.69098744,74.49916224,21109.45658,3505.66107,39.30518733,2019,35.913997866
GRLS.MC,6011.012712,1531.912652,7184.882183,17423.27982,789.9830632,8.320023639,5715.636841,5405.599399,36.65113412,73.96321615,17351.19049,4716.630047,22.59887006,2020,-24.659403765
GRLS.MC,3865.356619,1630.603322,8864.54934,18655.07572,889.1250015,9.513691895,6521.78554,6238.876404,47.2222569,75.72461539,11134.95652,5462.381534,17.10176946,2021,-9.104937321
CPT,,,2832.396,4730.342,70.973,11.07989579,612.408,1411.494,,26.31964144,2587.323099,5191.646,,2009,53.442261191
CPT,,,2625.199,4607.999,-50.8,9.664170368,602.648,1530.411,,27.82776634,3527.538078,5260.045,,2010,31.634883351
CPT,,,2563.754,4699.737,13.602,8.279967351,568.072,1686.419,,37.29516681,4226.071686,5440.758,811.2847584,2011,21.062816606
CPT,,,2432.112,4622.075,22.546,8.159334078,599.401,1758.717,,49.87802167,5459.484115,5519.67,48.40871982,2012,13.694334056999999
CPT,,,2510.468,5385.172,283.39,8.162116041,698.318,2563.099,,48.51798349,4857.587536,6339.451,29.29476243,2013,-12.523807017
CPT,,,2530.766,5632.141,336.364,8.914174972,788.851,2691.536,,42.50870552,6070.496861,6599.615,41.16523111,2014,31.700401732
CPT,,,2730.613,6043.981,146.41,8.932755347,790.263,2815.602,,44.7444452,6344.352811,6893.92,18.60506433,2015,9.147008815
CPT,,,2724.687,6037.612,249.315,9.337557269,835.618,2816.557,,50.3843151,7354.423759,6900.679,16.98740746,2016,19.249181382
CPT,,,2480.588,6028.152,819.823,9.748807048,876.447,3014.873,,51.57488706,8531.673665,6934.398,56.19342355,2017,12.867955390999999
CPT,,,2204.598,6173.748,196.422,9.737837108,900.896,3405.363,,49.1934597,8200.556297,7290.512,41.43022501,2018,0.3417305739999996
CPT,,,2321.603,6219.586,156.128,10.0088606,954.505,3311.423,,45.53352492,10273.83944,8034.497,63.70421072,2019,22.619722483
CPT,,,2524.099,6748.504,181.717,10.34835587,1028.461,3628.685,152.9460038,51.32307371,9731.764255,8603.474,52.8319445,2020,2.610701603999998
CPT,,,3166.625,7198.952,123.911,10.49736519,1043.837,3444.905,141.2189608,65.9563868,18260.61053,8988.962,151.4917717,2021,42.531173353999996
SUBC.OL,1331.8,1114.2,419.3,2471.1,,13.54108426,2522.4,787.7,108.9138899,41.04812246,2967.030429,,11.68859343,2009,97.496996868
SUBC.OL,1743.0,1221.2,415.8,2833.1,,12.01798824,2208.8,1068.0,,32.50559878,4561.269486,1432.2,20.9756398,2010,51.077805272
SUBC.OL,1403.3,1190.5,435.3,2989.5,,11.46071977,2369.0,1202.5,,30.87629734,6289.521846,1971.4,13.51325095,2011,-23.325002741
SUBC.OL,2914.1,2272.0,893.4,9247.6,422.2,14.95047221,5476.5,5781.0,,36.31505131,8317.425566,4188.3,11.0496352,2012,29.042508112
SUBC.OL,3608.8,2864.3,1542.7,10461.8,540.1,16.56222099,6296.6,6308.3,76.06676089,30.58667802,6731.146737,,18.68169127,2013,-5.777567220999996
SUBC.OL,2884.3,2776.6,916.8,10316.3,364.1,16.80584041,6297.1,6551.6,70.74338782,26.69645359,3422.029336,5813.8,5.336869668,2014,-33.774924709
SUBC.OL,2161.8,2203.2,578.1,8624.4,845.5,20.76853652,6869.9,5586.9,98.56875644,34.66182546,2350.666387,6456.4,,2015,-13.516474621
SUBC.OL,2026.3,1773.9,523.9,7854.2,503.9,14.60578546,4758.1,5377.1,113.2699694,38.56415675,4142.78398,6630.7,,2016,61.657097197999995
SUBC.OL,2565.3,2062.6,427.3,7803.0,526.4,10.40201194,3566.7,5583.5,101.4901144,49.78583067,4906.318344,6440.3,12.60011438,2017,20.588330645
SUBC.OL,2182.4,1310.4,282.7,7744.7,431.1,11.77463266,3985.6,5892.6,114.2866611,51.48974162,3167.099054,7331.9,15.67322854,2018,-27.061071976999997
SUBC.OL,2096.3,1400.8,258.2,7568.9,182.5,12.45083718,4073.8,5683.4,121.1852541,67.72425949,3572.563259,7240.0,40.68654275,2019,27.661204155
SUBC.OL,1608.6,1264.9,578.8,7224.2,-83.6,11.99352522,3656.6,5328.7,122.1838218,71.49451251,3086.220223,7900.7,,2020,2.3906612999999943
SUBC.OL,1835.4,1551.2,463.0,6297.1,-487.4,11.6458447,3466.4,4227.8,108.8241517,75.22341541,2153.300842,7958.9,,2021,-8.364279226
WMB,4411.0,3519.0,7701.0,26006.0,1271.0,20.06009593,11890.0,8440.0,3205.027094,60.19569198,10037.6669,25360.0,22.14514612,2009,48.178319223
WMB,3793.0,2477.0,8276.0,25280.0,552.0,9.007517642,5278.0,8447.0,,45.46571093,11804.11985,27625.0,135.9676594,2010,22.189452145
WMB,2530.0,2574.0,9108.0,24972.0,760.0,11.23753384,6638.0,6803.0,,42.20101862,15892.48984,17795.0,19.10978938,2011,37.613875044000004
WMB,1894.0,1675.0,8722.0,16502.0,734.0,13.25699001,7930.0,1296.0,,50.20428133,22068.90977,19082.0,31.56362374,2012,25.876887344000004
WMB,1924.0,1549.0,10736.0,24327.0,695.0,11.96829346,7486.0,4752.0,,50.65662726,26359.83408,22546.0,43.05985063,2013,22.610318493
WMB,1683.0,1983.0,11579.0,27142.0,559.0,9.982755735,6860.0,4864.0,,56.46611478,33594.04314,25823.0,17.5774833,2014,24.302480946
WMB,1890.0,2567.0,21582.0,50455.0,582.0,10.5535756,7637.0,8777.0,,57.70948366,19268.95374,36435.0,57.38528525,2015,-38.756373832
WMB,1527.0,2497.0,24487.0,49020.0,405.0,9.822881174,7360.0,6148.0,1773.569809,55.04655338,23381.07542,39039.0,,2016,38.196364537
WMB,1462.0,2949.0,23502.0,46835.0,-424.0,9.989702574,7499.0,4643.0,1527.82966,51.10817514,25207.50228,38912.0,53.67107325,2017,4.023723095999999
WMB,2179.0,2646.0,20935.0,46352.0,785.5,9.693211252,8031.0,9656.0,1368.869445,63.95204828,26692.45178,39513.0,125.2342818,2018,-23.753733825
WMB,1464.0,1811.0,22414.0,45302.0,775.0,8.921290105,8686.0,14660.0,1546.152908,75.26478669,28749.79839,38661.0,189.7903665,2019,17.796614822
WMB,1580.0,3968.0,22288.0,46040.0,1200.0,6.755292992,8201.0,13363.0,1545.536987,72.10920973,24332.39363,41717.0,105.7935838,2020,3.2439275750000025
WMB,1429.0,2319.0,22344.0,44165.0,208.0,6.352223772,7719.0,11769.0,1121.671215,71.44778314,31639.37597,42671.0,31.44737637,2021,31.975057698
LAEP.PA,1093.757426,390.1301352,497.5300876,1254.213668,-9.131424366,25.65930454,957.4579612,308.6873261,,,630.9538769,217.907214,,2009,23.740754714
LAEP.PA,860.7369868,724.3242856,528.2840864,1046.116074,28.62118094,17.29555183,644.4869152,205.2009964,,,721.7344883,239.4033099,,2010,41.546088219
LAEP.PA,903.4111431,323.0847435,482.9549863,1073.280717,19.91962282,12.38102254,622.298174,228.6161461,,,945.2204484,237.5787573,3.015914157,2011,43.668953438
LAEP.PA,886.9669903,393.0355987,511.6763754,1048.711974,8.801334498,15.00407093,746.1423948,219.2491909,,,860.1068664,232.1385113,,2012,-14.247351208999996
LAEP.PA,855.1443424,328.0768419,462.3073675,1017.057209,3.961813232,17.04559071,849.1503061,244.0495039,,,1533.786593,249.2083597,130.1976447,2013,58.85740662
LAEP.PA,854.3310333,718.9817742,462.5037799,1021.00778,-10.69225497,20.27822398,853.6781483,179.4100668,,,1085.81835,265.9193996,,2014,-37.929411471
LAEP.PA,778.243513,490.190528,411.8720135,927.7045908,0.151496448,16.0613783,803.3315188,133.7506805,,,3744.257208,240.6580778,,2015,9.356827664
LAEP.PA,797.9094493,313.5185326,166.0179624,933.5617554,1.712996092,8.793845956,675.6355817,419.2754206,,,3713.720662,224.3329243,,2016,6.462989556000004
LAEP.PA,529.2882675,273.3599664,153.1171152,786.5811606,32.85712734,3.4926649,688.8519765,240.0452061,,14.92492573,5796.411058,,9.057183636,2017,41.008975318
LAEP.PA,596.1996617,378.7646501,146.5433476,891.2081189,3.761533882,3.937898021,788.6289752,354.2927748,20.1932917,21.78930506,2698.076614,255.1888773,,2018,-66.329220792
LAEP.PA,587.3658134,386.3106707,152.3293421,839.3992568,6.783033373,3.631791625,756.0888614,301.1342784,20.05547134,49.69341235,3673.338302,256.6210203,,2019,39.352943105000016
LAEP.PA,438.8920028,330.8734838,167.6524001,737.0860704,-37.06744868,4.06994633,799.3834495,223.3257853,25.20407765,44.83202347,2102.217289,350.8228146,,2020,-18.981955086
LAEP.PA,335.4616512,205.1416707,275.1013679,598.3842208,-108.6012804,2.563376336,504.6800195,44.19638495,31.22652394,52.19636763,319.9206068,374.3490474,,2021,-52.226090868
CBLP.PA,576.5924435,329.0420878,498.1758712,1317.985491,62.12270585,57.04450769,925.2037293,448.973316,,,714.358055,665.4925148,11.35779283,2009,52.83134948599999
CBLP.PA,425.9004753,294.622917,365.0575502,1252.362137,26.861038,48.75124631,840.7776442,602.1302182,,,914.9265186,755.4543893,23.29783188,2010,35.068318032
CBLP.PA,484.3823156,277.9747174,365.5942746,1323.924821,57.68936709,48.54603058,991.5055849,643.1676811,,,613.1276249,799.0100997,9.00897425,2011,-32.661900896
CBLP.PA,517.7993528,238.0582524,384.4660194,1361.165049,83.46306302,51.58890212,1073.915858,689.3203883,,,566.289234,837.4110032,8.603176934,2012,-0.18269699199999856
CBLP.PA,453.3459996,235.5129829,356.1061853,1334.44163,43.06331471,50.89241539,1069.637957,644.791007,,,720.2806178,,22.43358537,2013,26.038658075999997
CBLP.PA,442.4498997,264.0404651,330.7034665,1281.853919,29.51773836,48.15290222,1015.476812,608.6263298,,,501.7858146,930.3955796,,2014,-18.702465703
CBLP.PA,422.7907821,234.803121,321.4177705,1213.693824,42.28530454,41.28219113,878.3644832,550.6562632,,,381.6468522,894.8164278,17.70058933,2015,-12.301249787
CBLP.PA,379.557129,226.8654771,299.0845017,1106.742976,5.498493413,39.14099178,833.6138834,517.696376,,,440.8353077,851.8586896,441.4512275,2016,30.144488736
CBLP.PA,352.2918419,254.1000841,250.2102607,1052.565181,36.25403115,37.42151999,797.9394449,498.9486964,,,916.9579872,831.5811606,61.69147653,2017,67.440684715
CBLP.PA,412.3031154,265.3519032,259.8337352,1139.501685,46.66923182,45.47377315,970.7177217,559.4942479,165.0833483,63.671235,556.1594974,969.6380802,10.86524324,2018,-40.747532715000006
CBLP.PA,495.5729883,404.8536563,302.894761,1243.806771,63.98640997,47.46394386,1007.546564,580.6725388,165.2246177,60.8677336,795.4424525,1005.596844,11.83815526,2019,45.192906255
CBLP.PA,507.2528754,263.6593951,367.6882721,1346.209896,64.55974311,49.87038117,1065.174988,614.9810551,141.5844359,66.16165695,630.4670151,1138.040042,12.8748667,2020,-16.838181752000008
CBLP.PA,585.4909624,340.4982902,443.9423547,1460.307767,-14.38072982,50.1441978,1034.684905,621.8856864,151.2621063,69.12208811,873.3776038,1304.958476,,2021,28.976976196000003
SKISb.ST,33.30790734,40.43491087,280.7707868,515.3603888,38.78001279,2.92464933,230.684816,192.6760504,,,670.5882284,680.7034992,18.67672836,2009,79.254001762
SKISb.ST,34.19262573,37.33590891,263.420225,505.147621,49.32595231,2.970321339,234.2872441,202.9572997,,,721.4041664,667.1248475,16.06790835,2010,7.555160160999999
SKISb.ST,41.81899967,63.30939567,339.3289035,614.3274042,26.53040848,3.196999202,252.1667009,231.4544106,,,443.466606,820.8439211,18.48142588,2011,-40.255493321
SKISb.ST,41.56829603,138.8492824,343.373074,603.9350769,23.72694342,2.969179928,234.1972141,219.8101505,,,493.3983982,800.0425577,19.79113449,2012,9.995385970000001
SKISb.ST,40.92654701,140.3365966,317.5317259,588.2798526,21.52715182,3.209960137,251.5840283,223.7203892,,,461.0580498,804.0557771,21.52362846,2013,-3.4213258809999996
SKISb.ST,43.25340506,125.8639979,295.9059174,566.5895044,22.32745467,3.194466424,250.3696921,219.8294609,,,420.9942976,780.1816985,19.8391043,2014,14.948105219
SKISb.ST,33.2383909,233.1644987,203.7705092,443.8062749,30.18689432,2.86036773,224.1843528,193.6194197,,,550.9149303,624.5610142,17.89580026,2015,41.850514827000005
SKISb.ST,44.30736714,113.0267291,203.4966195,479.5994722,36.08149121,2.965714288,232.441001,211.1869869,,,625.6260384,,20.57890831,2016,26.892804794
SKISb.ST,66.7273529,181.3851581,221.9153332,567.9551468,48.18609591,3.707012198,290.5410105,256.0695477,,,719.7918022,816.5503339,14.75628777,2017,9.224525977
SKISb.ST,66.89299692,101.6683429,183.5272318,532.4537027,53.7322271,3.536858042,277.2049981,257.9571244,16.77108639,20.34515912,862.8431911,765.85292,16.69877349,2018,32.403220242
SKISb.ST,56.09582692,64.83107041,177.8081424,515.98409,46.65443896,3.477579119,272.5589497,259.29128,15.26201666,22.83690916,949.7499896,754.963688,25.52335774,2019,18.505740070999998
SKISb.ST,68.52317551,128.8026466,307.7180766,696.7403903,32.16843003,3.48553589,273.1825701,290.4624692,9.14405362,37.97155634,973.7148481,961.2844567,29.50488157,2020,-0.8341820110000064
SKISb.ST,92.95140137,165.1644886,357.4764892,797.1053028,4.574449843,4.069460078,318.9482473,319.8516878,6.527709846,39.16636826,1408.728143,977.5135963,79.33804072,2021,56.325375186
ORP.PA,312.4655792,770.2841727,1735.66067,3594.958136,64.16885424,24.76256461,981.7041976,755.7596343,,,1758.47854,2348.737088,23.48781526,2009,22.416493739
ORP.PA,442.6644906,956.0098494,2058.709844,4382.391342,82.41127278,28.98560574,1207.296856,918.5535131,,,1800.101722,2730.547443,21.70957604,2010,11.163451154000002
ORP.PA,704.4492007,1159.608053,2471.999197,5190.353822,63.56291316,30.82460226,1289.858872,1157.585446,,,1727.830895,2946.572136,15.03914298,2011,-22.863456686
ORP.PA,781.8576052,1376.790939,2494.979935,5801.660841,106.9325913,33.91500691,1597.579288,1490.810356,,,2342.509865,3352.484142,18.73119891,2012,31.586481644
ORP.PA,799.1819717,1582.751478,2867.293382,6537.641176,124.0021982,33.05789792,1885.770266,1602.120277,,,3220.919949,3824.353494,22.20843542,2013,26.293512267
ORP.PA,1014.569646,1482.131567,3031.425076,7493.182505,157.4661634,40.35578528,2210.080545,1941.300822,22.72357034,26.84816039,3484.140302,4238.840476,28.16794349,2014,23.382086684
ORP.PA,1157.820117,1441.900442,3085.807778,7604.411782,146.2493428,39.17927571,2357.20075,1812.093389,35.74046695,23.86886776,4829.435955,4087.473538,36.19381203,2015,38.252923886
ORP.PA,1088.120242,1173.379959,3623.529284,8005.260586,173.7799694,43.13431641,2597.282827,1965.139388,44.39202807,31.6486952,4863.97027,4538.494369,31.50304319,2016,6.06628648
ORP.PA,1160.967199,1305.446804,4436.275231,8804.690917,191.8477673,49.58519149,2986.990118,2221.321489,34.68897498,60.50432919,7612.159152,5247.797519,33.54559539,2017,27.245196486
ORP.PA,1569.221818,1489.997721,6106.308706,11630.717,245.3217426,61.13329245,3764.630943,3257.117837,34.12765285,62.43204213,6608.853723,7289.980926,23.67520234,2018,-7.033249827
ORP.PA,1874.339389,1988.286769,6640.133269,12781.64625,248.2495663,60.68481497,3922.107533,3405.453482,38.02917429,67.84642143,8279.252706,8063.588403,32.48608044,2019,28.465865525
ORP.PA,1904.351725,2443.994799,10395.35233,16298.2546,257.3057553,62.61639988,4192.784118,3378.742461,33.14805129,70.09391024,8489.373478,11315.57182,37.70694116,2020,-0.4471562440000034
ORP.PA,2271.828285,3216.157792,12858.98999,20721.17978,190.4538639,73.03283878,4790.415242,4268.612604,30.76734178,73.85148293,6473.854225,14367.28872,30.47346284,2021,-3.9719325690000016
ANSS.O,397.153,267.664,279.425,1864.514,152.404,5.51285036,478.339,1182.899,,44.0152311,3854.921122,71.982,36.14588098,2009,52.443364497
ANSS.O,515.49,266.766,225.426,1920.182,163.727,5.631475731,516.885,1312.631,,40.42465427,4738.284032,79.212,34.13642771,2010,21.367035101
ANSS.O,714.633,311.369,159.525,2126.876,198.109,6.225107018,580.236,1529.929,,55.28742192,5291.549369,90.326,29.56295547,2011,12.774876274999999
ANSS.O,740.033,438.751,127.572,2448.47,243.776,7.326146152,691.449,1754.473,,51.85458507,6238.220092,106.549,32.79039759,2012,18.578984939
ANSS.O,913.359,477.387,53.149,2607.417,276.787,8.404258904,798.018,1940.291,,52.95242718,8079.934386,115.535,36.58255197,2013,27.522571484
ANSS.O,1067.596,440.431,0.0,2722.382,311.524,9.052649282,861.26,2136.246,,51.23418768,7536.49126,154.354,29.70046,2014,-4.282088142999999
ANSS.O,1082.315,465.075,0.0,2752.879,323.409,9.937161603,936.021,2217.501,,55.81114739,8231.77813,151.016,33.59019239,2015,13.008824426
ANSS.O,1076.426,484.146,0.0,2729.904,313.375,10.30308627,942.753,2194.427,,53.54547289,8002.894901,160.664,31.43662202,2016,0.9197241930000006
ANSS.O,1169.401,539.1,0.0,2800.526,322.922,11.11021817,988.465,2208.405,,43.38711875,12524.55721,156.901,46.47669552,2017,50.04761502
ANSS.O,1270.266,608.553,0.0,2941.623,347.914,12.61024248,1095.25,2245.831,,45.63620139,11944.06897,173.92,36.70002722,2018,1.4352233269999992
ANSS.O,1311.177,524.767,0.0,3265.964,513.885,15.05751167,1293.636,2649.547,10.66830619,59.3012578,21671.27788,183.201,50.4041575,2019,63.092684845
ANSS.O,1555.48,695.14,498.531,4838.887,564.997,17.64203666,1515.892,3453.379,9.588430836,62.48914997,31244.6454,318.41,82.46422508,2020,38.480952304
ANSS.O,1719.237,728.825,798.118,5940.59,584.604,19.2614907,1681.297,4097.872,8.065683477,62.94150176,34998.9033,376.505,75.45565532,2021,-5.476048331
IDLA.PA,,,,,,,,,,,,,,2009,0.0
IDLA.PA,,,,,,,,,,,,,,2010,0.0
IDLA.PA,,,,,,,,,,,,,,2011,0.0
IDLA.PA,156.405178,217.1935275,68.9579288,329.2802589,,135.4705836,598.0944984,57.58187702,,,189.2434241,122.6187702,44.82233589,2012,24.474720752
IDLA.PA,218.7552776,247.5907748,73.60143551,407.1208043,13.81544571,137.2938772,738.3760819,98.51831328,,,440.0833292,142.7512138,32.31568508,2013,82.11395208
IDLA.PA,327.7977843,393.1880034,211.6639635,709.7245512,22.67291554,173.3505872,1010.424169,120.9129395,,,452.8303043,263.7229568,32.64727793,2014,19.562842878999998
